t,i
0.00000000,14.133
0.00000500,14.085
0.00001000,14.027
0.00001500,13.967
0.00002000,13.951
0.00002500,14.019
0.00003000,14.080
0.00003500,14.064
0.00004000,14.046
0.00004500,14.009
0.00005000,13.948
0.00005500,13.928
0.00006000,13.904
0.00006500,13.800
0.00007000,13.740
0.00007500,13.796
0.00008000,13.833
0.00008500,13.854
0.00009000,13.838
0.00009500,13.783
0.00010000,13.722
0.00010500,13.714
0.00011000,13.672
0.00011500,13.613
0.00012000,13.566
0.00012500,13.518
0.00013000,13.524
0.00013500,13.590
0.00014000,13.602
0.00014500,13.540
0.00015000,13.518
0.00015500,13.491
0.00016000,13.445
0.00016500,13.429
0.00017000,13.384
0.00017500,13.288
0.00018000,13.265
0.00018500,13.320
0.00019000,13.350
0.00019500,13.347
0.00020000,13.336
0.00020500,13.272
0.00021000,13.222
0.00021500,13.226
0.00022000,13.180
0.00022500,13.096
0.00023000,13.059
0.00023500,13.077
0.00024000,13.111
0.00024500,13.156
0.00025000,13.144
0.00025500,13.077
0.00026000,13.030
0.00026500,12.995
0.00027000,12.943
0.00027500,12.934
0.00028000,12.892
0.00028500,12.830
0.00029000,12.882
0.00029500,12.969
0.00030000,12.959
0.00030500,12.924
0.00031000,12.895
0.00031500,12.819
0.00032000,12.764
0.00032500,12.737
0.00033000,12.678
0.00033500,12.613
0.00034000,12.608
0.00034500,12.636
0.00035000,12.687
0.00035500,12.748
0.00036000,12.731
0.00036500,12.666
0.00037000,12.655
0.00037500,12.615
0.00038000,12.539
0.00038500,12.480
0.00039000,12.402
0.00039500,12.354
0.00040000,12.402
0.00040500,12.444
0.00041000,12.425
0.00041500,12.420
0.00042000,12.388
0.00042500,12.315
0.00043000,12.311
0.00043500,12.312
0.00044000,12.230
0.00044500,12.158
0.00045000,12.178
0.00045500,12.196
0.00046000,12.195
0.00046500,12.183
0.00047000,12.117
0.00047500,12.071
0.00048000,12.058
0.00048500,12.026
0.00049000,11.985
0.00049500,11.960
0.00050000,11.903
0.00050500,11.879
0.00051000,11.945
0.00051500,11.971
0.00052000,11.919
0.00052500,11.898
0.00053000,11.863
0.00053500,11.803
0.00054000,11.774
0.00054500,11.720
0.00055000,11.625
0.00055500,11.596
0.00056000,11.630
0.00056500,11.652
0.00057000,11.691
0.00057500,11.689
0.00058000,11.626
0.00058500,11.567
0.00059000,11.547
0.00059500,11.506
0.00060000,11.440
0.00060500,11.385
0.00061000,11.359
0.00061500,11.393
0.00062000,11.444
0.00062500,11.432
0.00063000,11.386
0.00063500,11.362
0.00064000,11.317
0.00064500,11.274
0.00065000,11.267
0.00065500,11.216
0.00066000,11.129
0.00066500,11.119
0.00067000,11.147
0.00067500,11.155
0.00068000,11.143
0.00068500,11.134
0.00069000,11.093
0.00069500,11.063
0.00070000,11.037
0.00070500,10.973
0.00071000,10.915
0.00071500,10.858
0.00072000,10.809
0.00072500,10.850
0.00073000,10.892
0.00073500,10.868
0.00074000,10.815
0.00074500,10.780
0.00075000,10.726
0.00075500,10.678
0.00076000,10.644
0.00076500,10.574
0.00077000,10.524
0.00077500,10.548
0.00078000,10.580
0.00078500,10.574
0.00079000,10.556
0.00079500,10.504
0.00080000,10.414
0.00080500,10.387
0.00081000,10.379
0.00081500,10.324
0.00082000,10.264
0.00082500,10.261
0.00083000,10.263
0.00083500,10.269
0.00084000,10.264
0.00084500,10.216
0.00085000,10.171
0.00085500,10.137
0.00086000,10.086
0.00086500,10.062
0.00087000,10.037
0.00087500,9.967
0.00088000,9.910
0.00088500,9.951
0.00089000,9.975
0.00089500,9.941
0.00090000,9.913
0.00090500,9.878
0.00091000,9.810
0.00091500,9.780
0.00092000,9.754
0.00092500,9.696
0.00093000,9.656
0.00093500,9.653
0.00094000,9.658
0.00094500,9.682
0.00095000,9.678
0.00095500,9.616
0.00096000,9.551
0.00096500,9.519
0.00097000,9.482
0.00097500,9.456
0.00098000,9.434
0.00098500,9.387
0.00099000,9.374
0.00099500,9.402
0.00100000,9.384
0.00100500,9.337
0.00101000,9.321
0.00101500,9.271
0.00102000,9.212
0.00102500,9.212
0.00103000,9.208
0.00103500,9.129
0.00104000,9.080
0.00104500,9.080
0.00105000,9.076
0.00105500,9.068
0.00106000,9.031
0.00106500,8.986
0.00107000,8.957
0.00107500,8.920
0.00108000,8.872
0.00108500,8.845
0.00109000,8.814
0.00109500,8.756
0.00110000,8.745
0.00110500,8.788
0.00111000,8.771
0.00111500,8.716
0.00112000,8.684
0.00112500,8.638
0.00113000,8.592
0.00113500,8.585
0.00114000,8.558
0.00114500,8.505
0.00115000,8.495
0.00115500,8.489
0.00116000,8.473
0.00116500,8.478
0.00117000,8.440
0.00117500,8.378
0.00118000,8.346
0.00118500,8.329
0.00119000,8.294
0.00119500,8.267
0.00120000,8.220
0.00120500,8.173
0.00121000,8.172
0.00121500,8.189
0.00122000,8.152
0.00122500,8.127
0.00123000,8.112
0.00123500,8.057
0.00124000,8.019
0.00124500,8.015
0.00125000,7.969
0.00125500,7.898
0.00126000,7.904
0.00126500,7.911
0.00127000,7.904
0.00127500,7.885
0.00128000,7.845
0.00128500,7.793
0.00129000,7.772
0.00129500,7.742
0.00130000,7.719
0.00130500,7.708
0.00131000,7.690
0.00131500,7.642
0.00132000,7.655
0.00132500,7.669
0.00133000,7.613
0.00133500,7.563
0.00134000,7.550
0.00134500,7.510
0.00135000,7.500
0.00135500,7.487
0.00136000,7.446
0.00136500,7.404
0.00137000,7.391
0.00137500,7.367
0.00138000,7.360
0.00138500,7.346
0.00139000,7.306
0.00139500,7.254
0.00140000,7.240
0.00140500,7.220
0.00141000,7.178
0.00141500,7.143
0.00142000,7.106
0.00142500,7.082
0.00143000,7.095
0.00143500,7.075
0.00144000,7.037
0.00144500,7.003
0.00145000,6.966
0.00145500,6.903
0.00146000,6.892
0.00146500,6.884
0.00147000,6.834
0.00147500,6.787
0.00148000,6.792
0.00148500,6.769
0.00149000,6.729
0.00149500,6.691
0.00150000,6.644
0.00150500,6.604
0.00151000,6.591
0.00151500,6.560
0.00152000,6.543
0.00152500,6.522
0.00153000,6.468
0.00153500,6.422
0.00154000,6.436
0.00154500,6.412
0.00155000,6.357
0.00155500,6.328
0.00156000,6.312
0.00156500,6.270
0.00157000,6.261
0.00157500,6.238
0.00158000,6.195
0.00158500,6.174
0.00159000,6.171
0.00159500,6.138
0.00160000,6.130
0.00160500,6.109
0.00161000,6.048
0.00161500,6.003
0.00162000,5.997
0.00162500,5.981
0.00163000,5.945
0.00163500,5.934
0.00164000,5.907
0.00164500,5.895
0.00165000,5.881
0.00165500,5.833
0.00166000,5.796
0.00166500,5.778
0.00167000,5.739
0.00167500,5.707
0.00168000,5.726
0.00168500,5.720
0.00169000,5.654
0.00169500,5.618
0.00170000,5.609
0.00170500,5.580
0.00171000,5.544
0.00171500,5.507
0.00172000,5.477
0.00172500,5.456
0.00173000,5.437
0.00173500,5.403
0.00174000,5.382
0.00174500,5.356
0.00175000,5.311
0.00175500,5.285
0.00176000,5.293
0.00176500,5.258
0.00177000,5.202
0.00177500,5.174
0.00178000,5.137
0.00178500,5.107
0.00179000,5.094
0.00179500,5.071
0.00180000,5.034
0.00180500,5.026
0.00181000,5.008
0.00181500,4.962
0.00182000,4.942
0.00182500,4.910
0.00183000,4.849
0.00183500,4.828
0.00184000,4.834
0.00184500,4.818
0.00185000,4.799
0.00185500,4.770
0.00186000,4.740
0.00186500,4.715
0.00187000,4.699
0.00187500,4.653
0.00188000,4.628
0.00188500,4.617
0.00189000,4.574
0.00189500,4.553
0.00190000,4.562
0.00190500,4.532
0.00191000,4.474
0.00191500,4.472
0.00192000,4.472
0.00192500,4.434
0.00193000,4.408
0.00193500,4.376
0.00194000,4.334
0.00194500,4.318
0.00195000,4.290
0.00195500,4.271
0.00196000,4.274
0.00196500,4.250
0.00197000,4.211
0.00197500,4.194
0.00198000,4.187
0.00198500,4.128
0.00199000,4.079
0.00199500,4.071
0.00200000,4.038
0.00200500,4.025
0.00201000,4.025
0.00201500,4.001
0.00202000,3.967
0.00202500,3.946
0.00203000,3.912
0.00203500,3.880
0.00204000,3.865
0.00204500,3.835
0.00205000,3.783
0.00205500,3.780
0.00206000,3.764
0.00206500,3.729
0.00207000,3.706
0.00207500,3.685
0.00208000,3.658
0.00208500,3.646
0.00209000,3.621
0.00209500,3.577
0.00210000,3.556
0.00210500,3.522
0.00211000,3.460
0.00211500,3.455
0.00212000,3.468
0.00212500,3.419
0.00213000,3.392
0.00213500,3.408
0.00214000,3.379
0.00214500,3.329
0.00215000,3.297
