t,i
0.00000000,8.230
0.00000500,8.229
0.00001000,8.243
0.00001500,8.230
0.00002000,8.247
0.00002500,8.238
0.00003000,8.225
0.00003500,8.225
0.00004000,8.214
0.00004500,8.209
0.00005000,8.214
0.00005500,8.233
0.00006000,8.270
0.00006500,8.242
0.00007000,8.244
0.00007500,8.248
0.00008000,8.258
0.00008500,8.263
0.00009000,8.246
0.00009500,8.248
0.00010000,8.255
0.00010500,8.259
0.00011000,8.263
0.00011500,8.270
0.00012000,8.250
0.00012500,8.270
0.00013000,8.279
0.00013500,8.249
0.00014000,8.244
0.00014500,8.240
0.00015000,8.242
0.00015500,8.268
0.00016000,8.257
0.00016500,8.267
0.00017000,8.265
0.00017500,8.277
0.00018000,8.245
0.00018500,8.276
0.00019000,8.243
0.00019500,8.251
0.00020000,8.236
0.00020500,8.250
0.00021000,8.255
0.00021500,8.281
0.00022000,8.289
0.00022500,8.256
0.00023000,8.244
0.00023500,8.221
0.00024000,8.264
0.00024500,8.262
0.00025000,8.225
0.00025500,8.252
0.00026000,8.271
0.00026500,8.276
0.00027000,8.271
0.00027500,8.272
0.00028000,8.263
0.00028500,8.249
0.00029000,8.269
0.00029500,8.278
0.00030000,8.288
0.00030500,8.303
0.00031000,8.267
0.00031500,8.273
0.00032000,8.249
0.00032500,8.240
0.00033000,8.241
0.00033500,8.256
0.00034000,8.285
0.00034500,8.256
0.00035000,8.248
0.00035500,8.255
0.00036000,8.253
0.00036500,8.240
0.00037000,8.246
0.00037500,8.263
0.00038000,8.263
0.00038500,8.224
0.00039000,8.246
0.00039500,8.248
0.00040000,8.259
0.00040500,8.257
0.00041000,8.246
0.00041500,8.259
0.00042000,8.232
0.00042500,8.217
0.00043000,8.237
0.00043500,8.248
0.00044000,8.223
0.00044500,8.229
0.00045000,8.239
0.00045500,8.253
0.00046000,8.232
0.00046500,8.234
0.00047000,8.249
0.00047500,8.231
0.00048000,8.256
0.00048500,8.281
0.00049000,8.244
0.00049500,8.228
0.00050000,8.225
0.00050500,8.212
0.00051000,8.251
0.00051500,8.254
0.00052000,8.242
0.00052500,8.262
0.00053000,8.246
0.00053500,8.240
0.00054000,8.226
0.00054500,8.219
0.00055000,8.223
0.00055500,8.232
0.00056000,8.222
0.00056500,8.222
0.00057000,8.232
0.00057500,8.217
0.00058000,8.209
0.00058500,8.205
0.00059000,8.222
0.00059500,8.230
0.00060000,8.228
0.00060500,8.217
0.00061000,8.245
0.00061500,8.205
0.00062000,8.224
0.00062500,8.198
0.00063000,8.209
0.00063500,8.219
0.00064000,8.217
0.00064500,8.210
0.00065000,8.222
0.00065500,8.218
0.00066000,8.220
0.00066500,8.204
0.00067000,8.207
0.00067500,8.196
0.00068000,8.214
0.00068500,8.203
0.00069000,8.198
0.00069500,8.206
0.00070000,8.216
0.00070500,8.187
0.00071000,8.194
0.00071500,8.177
0.00072000,8.169
0.00072500,8.187
0.00073000,8.194
0.00073500,8.170
0.00074000,8.151
0.00074500,8.159
0.00075000,8.174
0.00075500,8.166
0.00076000,8.161
0.00076500,8.174
0.00077000,8.170
0.00077500,8.153
0.00078000,8.142
0.00078500,8.174
0.00079000,8.134
0.00079500,8.139
0.00080000,8.150
0.00080500,8.118
0.00081000,8.121
0.00081500,8.148
0.00082000,8.112
0.00082500,8.125
