t,i
0.00000000,-0.245
0.00000500,-0.251
0.00001000,-0.240
0.00001500,-0.218
0.00002000,-0.214
0.00002500,-0.240
0.00003000,-0.236
0.00003500,-0.241
0.00004000,-0.251
0.00004500,-0.255
0.00005000,-0.244
0.00005500,-0.246
0.00006000,-0.261
0.00006500,-0.237
0.00007000,-0.240
0.00007500,-0.227
0.00008000,-0.232
0.00008500,-0.252
0.00009000,-0.239
0.00009500,-0.261
0.00010000,-0.245
0.00010500,-0.254
0.00011000,-0.242
0.00011500,-0.228
0.00012000,-0.210
0.00012500,-0.247
0.00013000,-0.263
0.00013500,-0.249
0.00014000,-0.242
0.00014500,-0.234
0.00015000,-0.222
0.00015500,-0.239
0.00016000,-0.232
0.00016500,-0.229
0.00017000,-0.246
0.00017500,-0.242
0.00018000,-0.234
0.00018500,-0.235
0.00019000,-0.241
0.00019500,-0.243
0.00020000,-0.253
0.00020500,-0.239
0.00021000,-0.251
0.00021500,-0.247
0.00022000,-0.250
0.00022500,-0.234
0.00023000,-0.258
0.00023500,-0.247
0.00024000,-0.249
0.00024500,-0.255
0.00025000,-0.265
0.00025500,-0.262
0.00026000,-0.271
0.00026500,-0.248
0.00027000,-0.264
0.00027500,-0.261
0.00028000,-0.244
0.00028500,-0.249
0.00029000,-0.238
0.00029500,-0.247
0.00030000,-0.244
0.00030500,-0.236
0.00031000,-0.245
0.00031500,-0.228
0.00032000,-0.245
0.00032500,-0.234
0.00033000,-0.227
0.00033500,-0.250
0.00034000,-0.247
0.00034500,-0.236
0.00035000,-0.238
0.00035500,-0.256
0.00036000,-0.248
0.00036500,-0.250
0.00037000,-0.248
0.00037500,-0.253
0.00038000,-0.223
0.00038500,-0.252
0.00039000,-0.260
0.00039500,-0.234
0.00040000,-0.266
0.00040500,-0.259
0.00041000,-0.259
0.00041500,-0.275
0.00042000,-0.238
0.00042500,-0.259
0.00043000,-0.264
0.00043500,-0.244
0.00044000,-0.266
0.00044500,-0.260
0.00045000,-0.266
0.00045500,-0.236
0.00046000,-0.250
0.00046500,-0.252
0.00047000,-0.259
0.00047500,-0.251
0.00048000,-0.255
0.00048500,-0.249
0.00049000,-0.263
0.00049500,-0.265
0.00050000,-0.245
0.00050500,-0.245
0.00051000,-0.255
0.00051500,-0.259
0.00052000,-0.271
0.00052500,-0.269
0.00053000,-0.266
0.00053500,-0.269
0.00054000,-0.270
0.00054500,-0.272
