t,i
0.00000000,2.936
0.00000500,3.218
0.00001000,3.129
0.00001500,2.997
0.00002000,3.170
0.00002500,2.921
0.00003000,3.107
0.00003500,2.885
0.00004000,3.187
0.00004500,2.838
0.00005000,3.087
0.00005500,2.933
0.00006000,2.982
0.00006500,2.930
0.00007000,2.946
0.00007500,2.891
0.00008000,2.887
0.00008500,2.831
0.00009000,2.848
0.00009500,2.857
0.00010000,2.772
0.00010500,2.851
0.00011000,2.660
0.00011500,2.907
0.00012000,2.646
0.00012500,2.752
0.00013000,2.735
0.00013500,2.584
0.00014000,2.758
0.00014500,2.598
0.00015000,2.628
0.00015500,2.572
0.00016000,2.622
0.00016500,2.669
0.00017000,2.445
0.00017500,2.619
0.00018000,2.437
0.00018500,2.402
0.00019000,2.592
0.00019500,2.319
0.00020000,2.567
0.00020500,2.230
0.00021000,2.479
0.00021500,2.264
0.00022000,2.349
0.00022500,2.328
0.00023000,2.212
0.00023500,2.389
0.00024000,2.240
0.00024500,2.226
0.00025000,2.236
0.00025500,2.232
0.00026000,2.076
0.00026500,2.338
0.00027000,1.964
0.00027500,2.257
0.00028000,1.988
0.00028500,2.278
0.00029000,2.004
0.00029500,2.131
0.00030000,2.194
0.00030500,1.992
0.00031000,2.123
0.00031500,1.985
0.00032000,2.148
0.00032500,1.930
0.00033000,2.074
0.00033500,1.941
0.00034000,1.895
0.00034500,2.092
0.00035000,1.767
0.00035500,2.031
0.00036000,1.694
0.00036500,2.037
0.00037000,1.715
0.00037500,2.004
0.00038000,1.614
0.00038500,1.932
0.00039000,1.711
0.00039500,1.776
0.00040000,1.640
0.00040500,1.729
0.00041000,1.805
0.00041500,1.619
0.00042000,1.687
0.00042500,1.632
0.00043000,1.721
0.00043500,1.480
0.00044000,1.639
0.00044500,1.526
0.00045000,1.560
0.00045500,1.555
0.00046000,1.500
0.00046500,1.554
0.00047000,1.567
0.00047500,1.408
0.00048000,1.566
0.00048500,1.409
0.00049000,1.372
0.00049500,1.421
0.00050000,1.422
0.00050500,1.263
0.00051000,1.425
0.00051500,1.243
0.00052000,1.242
0.00052500,1.297
0.00053000,1.327
0.00053500,1.126
0.00054000,1.389
0.00054500,1.021
0.00055000,1.375
0.00055500,1.043
0.00056000,1.277
0.00056500,1.005
0.00057000,1.469
0.00057500,0.842
0.00058000,1.475
0.00058500,0.985
0.00059000,1.230
0.00059500,1.043
0.00060000,1.193
0.00060500,1.069
0.00061000,1.090
0.00061500,1.115
0.00062000,0.977
0.00062500,1.222
0.00063000,0.902
0.00063500,1.195
0.00064000,0.886
0.00064500,1.208
0.00065000,0.854
0.00065500,1.073
0.00066000,0.924
0.00066500,0.993
0.00067000,0.901
0.00067500,1.063
0.00068000,0.885
0.00068500,0.513
0.00069000,1.578
0.00069500,0.257
0.00070000,1.392
0.00070500,0.596
0.00071000,0.873
0.00071500,0.923
0.00072000,0.556
0.00072500,1.126
0.00073000,0.339
0.00073500,1.256
0.00074000,-0.032
0.00074500,1.621
0.00075000,0.345
0.00075500,0.758
0.00076000,0.825
0.00076500,-0.042
0.00077000,1.540
0.00077500,0.132
0.00078000,0.543
0.00078500,1.046
0.00079000,-0.120
0.00079500,0.726
0.00080000,0.960
0.00080500,-0.132
0.00081000,0.854
0.00081500,0.766
0.00082000,-0.120
0.00082500,0.622
0.00083000,0.931
0.00083500,-0.103
0.00084000,1.033
0.00084500,-0.060
0.00085000,-0.063
0.00085500,0.380
0.00086000,1.493
0.00086500,-0.159
0.00087000,-0.087
0.00087500,0.051
0.00088000,1.517
0.00088500,-0.079
0.00089000,-0.111
0.00089500,-0.089
0.00090000,1.152
0.00090500,0.274
0.00091000,-0.157
0.00091500,-0.092
0.00092000,0.129
0.00092500,1.281
0.00093000,-0.113
0.00093500,-0.116
0.00094000,-0.094
0.00094500,-0.059
0.00095000,0.289
0.00095500,1.180
0.00096000,-0.151
0.00096500,-0.125
0.00097000,-0.127
0.00097500,-0.125
0.00098000,-0.103
0.00098500,-0.085
0.00099000,-0.068
0.00099500,1.345
0.00100000,-0.006
0.00100500,-0.167
0.00101000,-0.166
0.00101500,-0.161
0.00102000,-0.146
0.00102500,-0.147
0.00103000,-0.137
0.00103500,-0.136
0.00104000,-0.145
0.00104500,-0.122
0.00105000,-0.121
0.00105500,-0.119
0.00106000,-0.147
0.00106500,-0.149
0.00107000,-0.148
0.00107500,-0.147
0.00108000,-0.136
0.00108500,-0.152
0.00109000,-0.162
0.00109500,-0.168
0.00110000,-0.154
0.00110500,-0.161
0.00111000,-0.167
0.00111500,-0.171
0.00112000,-0.168
0.00112500,-0.176
0.00113000,-0.194
0.00113500,-0.200
0.00114000,-0.221
0.00114500,-0.236
0.00115000,-0.259
0.00115500,-0.279
0.00116000,-0.285
0.00116500,-0.286
0.00117000,-0.281
0.00117500,-0.273
0.00118000,-0.287
0.00118500,-0.283
0.00119000,-0.285
0.00119500,-0.296
0.00120000,-0.290
0.00120500,-0.279
0.00121000,-0.291
0.00121500,-0.296
0.00122000,-0.303
0.00122500,-0.295
0.00123000,-0.287
0.00123500,-0.291
0.00124000,-0.473
0.00124500,-0.602
0.00125000,-0.203
0.00125500,-0.236
0.00126000,-0.266
0.00126500,-0.269
0.00127000,-0.309
0.00127500,-0.341
0.00128000,-0.347
0.00128500,-0.368
0.00129000,-0.363
