t,i
0.00000000,-2.370
0.00000500,-2.418
0.00001000,-2.442
0.00001500,-2.427
0.00002000,-2.453
0.00002500,-2.488
0.00003000,-2.515
0.00003500,-2.516
0.00004000,-2.554
0.00004500,-2.574
0.00005000,-2.574
0.00005500,-2.571
0.00006000,-2.589
0.00006500,-2.618
0.00007000,-2.628
0.00007500,-2.643
0.00008000,-2.654
0.00008500,-2.675
0.00009000,-2.667
0.00009500,-2.683
0.00010000,-2.680
0.00010500,-2.720
0.00011000,-2.719
0.00011500,-2.730
0.00012000,-2.729
0.00012500,-2.738
0.00013000,-2.727
0.00013500,-2.774
0.00014000,-2.775
0.00014500,-2.792
0.00015000,-2.764
0.00015500,-2.753
0.00016000,-2.807
0.00016500,-2.797
0.00017000,-2.806
0.00017500,-2.828
0.00018000,-2.837
0.00018500,-2.863
0.00019000,-2.863
0.00019500,-2.859
0.00020000,-2.865
0.00020500,-2.857
0.00021000,-2.892
0.00021500,-2.894
0.00022000,-2.918
0.00022500,-2.933
0.00023000,-2.937
0.00023500,-2.908
0.00024000,-2.922
0.00024500,-2.954
0.00025000,-2.974
0.00025500,-2.988
0.00026000,-2.966
0.00026500,-2.965
0.00027000,-2.980
0.00027500,-2.986
0.00028000,-2.991
0.00028500,-3.002
0.00029000,-3.012
0.00029500,-3.012
0.00030000,-3.009
0.00030500,-3.026
0.00031000,-3.017
0.00031500,-3.071
0.00032000,-3.057
0.00032500,-3.056
0.00033000,-3.062
0.00033500,-3.093
0.00034000,-3.053
0.00034500,-3.066
0.00035000,-3.049
0.00035500,-3.079
0.00036000,-3.087
0.00036500,-3.117
0.00037000,-3.116
0.00037500,-3.093
0.00038000,-3.102
0.00038500,-3.119
0.00039000,-3.104
0.00039500,-3.115
0.00040000,-3.131
0.00040500,-3.144
0.00041000,-3.175
0.00041500,-3.156
0.00042000,-3.158
0.00042500,-3.189
0.00043000,-3.172
0.00043500,-3.158
0.00044000,-3.166
0.00044500,-3.193
0.00045000,-3.181
0.00045500,-3.193
0.00046000,-3.200
0.00046500,-3.200
0.00047000,-3.207
0.00047500,-3.242
0.00048000,-3.226
0.00048500,-3.228
0.00049000,-3.265
0.00049500,-3.254
0.00050000,-3.278
0.00050500,-3.279
0.00051000,-3.280
0.00051500,-3.274
0.00052000,-3.303
0.00052500,-3.309
0.00053000,-3.317
0.00053500,-3.341
0.00054000,-3.338
0.00054500,-3.322
0.00055000,-3.338
0.00055500,-3.352
0.00056000,-3.365
0.00056500,-3.347
0.00057000,-3.363
0.00057500,-3.363
0.00058000,-3.378
0.00058500,-3.379
0.00059000,-3.399
0.00059500,-3.374
0.00060000,-3.380
0.00060500,-3.379
0.00061000,-3.384
0.00061500,-3.408
0.00062000,-3.398
0.00062500,-3.399
0.00063000,-3.432
0.00063500,-3.422
0.00064000,-3.424
0.00064500,-3.438
0.00065000,-3.444
0.00065500,-3.442
0.00066000,-3.443
0.00066500,-3.428
0.00067000,-3.472
0.00067500,-3.465
0.00068000,-3.457
0.00068500,-3.463
0.00069000,-3.485
0.00069500,-3.475
0.00070000,-3.486
0.00070500,-3.493
0.00071000,-3.487
0.00071500,-3.479
0.00072000,-3.513
0.00072500,-3.512
0.00073000,-3.549
0.00073500,-3.531
0.00074000,-3.531
0.00074500,-3.527
0.00075000,-3.549
0.00075500,-3.561
0.00076000,-3.585
0.00076500,-3.570
0.00077000,-3.557
0.00077500,-3.573
0.00078000,-3.585
0.00078500,-3.587
0.00079000,-3.599
0.00079500,-3.619
0.00080000,-3.624
0.00080500,-3.615
0.00081000,-3.629
0.00081500,-3.650
0.00082000,-3.674
0.00082500,-3.636
0.00083000,-3.659
0.00083500,-3.653
0.00084000,-3.653
0.00084500,-3.653
0.00085000,-3.669
0.00085500,-3.673
0.00086000,-3.679
0.00086500,-3.673
0.00087000,-3.689
0.00087500,-3.707
0.00088000,-3.708
0.00088500,-3.708
0.00089000,-3.697
0.00089500,-3.712
0.00090000,-3.737
0.00090500,-3.756
0.00091000,-3.760
0.00091500,-3.737
0.00092000,-3.744
0.00092500,-3.754
0.00093000,-3.776
0.00093500,-3.782
0.00094000,-3.777
0.00094500,-3.776
0.00095000,-3.790
0.00095500,-3.811
0.00096000,-3.804
0.00096500,-3.827
0.00097000,-3.816
0.00097500,-3.816
0.00098000,-3.835
0.00098500,-3.805
0.00099000,-3.854
0.00099500,-3.875
0.00100000,-3.889
0.00100500,-3.885
0.00101000,-3.884
0.00101500,-3.867
0.00102000,-3.881
0.00102500,-3.882
0.00103000,-3.901
0.00103500,-3.895
0.00104000,-3.909
0.00104500,-3.919
0.00105000,-3.895
0.00105500,-3.922
0.00106000,-3.933
0.00106500,-3.939
0.00107000,-3.963
0.00107500,-3.950
0.00108000,-3.951
0.00108500,-3.932
0.00109000,-3.966
0.00109500,-3.988
0.00110000,-3.971
0.00110500,-3.980
0.00111000,-3.984
0.00111500,-3.984
0.00112000,-3.989
0.00112500,-3.974
0.00113000,-3.992
0.00113500,-4.010
0.00114000,-4.009
0.00114500,-4.004
0.00115000,-4.014
0.00115500,-3.972
0.00116000,-3.994
0.00116500,-3.998
0.00117000,-4.028
0.00117500,-4.006
0.00118000,-4.053
0.00118500,-4.036
0.00119000,-4.053
0.00119500,-4.064
0.00120000,-4.088
0.00120500,-4.079
0.00121000,-4.079
0.00121500,-4.053
0.00122000,-4.049
0.00122500,-4.081
0.00123000,-4.111
0.00123500,-4.093
0.00124000,-4.107
0.00124500,-4.103
0.00125000,-4.103
0.00125500,-4.117
0.00126000,-4.118
0.00126500,-4.118
0.00127000,-4.103
0.00127500,-4.128
0.00128000,-4.141
0.00128500,-4.142
0.00129000,-4.148
0.00129500,-4.153
0.00130000,-4.151
0.00130500,-4.149
0.00131000,-4.147
0.00131500,-4.194
0.00132000,-4.199
0.00132500,-4.183
0.00133000,-4.198
0.00133500,-4.176
0.00134000,-4.220
0.00134500,-4.202
0.00135000,-4.206
0.00135500,-4.220
0.00136000,-4.241
0.00136500,-4.223
0.00137000,-4.242
0.00137500,-4.236
0.00138000,-4.218
0.00138500,-4.199
0.00139000,-4.209
0.00139500,-4.211
0.00140000,-4.238
0.00140500,-4.267
0.00141000,-4.267
0.00141500,-4.255
0.00142000,-4.264
0.00142500,-4.269
0.00143000,-4.283
0.00143500,-4.285
0.00144000,-4.317
0.00144500,-4.294
0.00145000,-4.315
0.00145500,-4.339
0.00146000,-4.313
0.00146500,-4.333
0.00147000,-4.329
0.00147500,-4.341
0.00148000,-4.337
0.00148500,-4.339
0.00149000,-4.347
0.00149500,-4.356
0.00150000,-4.354
0.00150500,-4.358
0.00151000,-4.365
0.00151500,-4.378
0.00152000,-4.381
0.00152500,-4.388
0.00153000,-4.389
0.00153500,-4.410
0.00154000,-4.418
0.00154500,-4.384
0.00155000,-4.385
0.00155500,-4.389
0.00156000,-4.389
0.00156500,-4.404
0.00157000,-4.387
0.00157500,-4.401
0.00158000,-4.417
0.00158500,-4.422
0.00159000,-4.394
0.00159500,-4.397
0.00160000,-4.423
0.00160500,-4.425
0.00161000,-4.402
0.00161500,-4.391
0.00162000,-4.404
0.00162500,-4.390
0.00163000,-4.443
0.00163500,-4.421
0.00164000,-4.422
0.00164500,-4.431
0.00165000,-4.426
0.00165500,-4.410
0.00166000,-4.411
0.00166500,-4.421
0.00167000,-4.414
0.00167500,-4.468
0.00168000,-4.450
0.00168500,-4.436
0.00169000,-4.459
0.00169500,-4.458
0.00170000,-4.447
0.00170500,-4.467
0.00171000,-4.466
0.00171500,-4.435
0.00172000,-4.440
0.00172500,-4.464
0.00173000,-4.458
0.00173500,-4.447
0.00174000,-4.445
0.00174500,-4.456
0.00175000,-4.461
0.00175500,-4.462
0.00176000,-4.451
0.00176500,-4.454
0.00177000,-4.435
0.00177500,-4.455
0.00178000,-4.459
0.00178500,-4.469
0.00179000,-4.468
0.00179500,-4.472
0.00180000,-4.446
0.00180500,-4.452
0.00181000,-4.456
0.00181500,-4.449
0.00182000,-4.473
0.00182500,-4.472
0.00183000,-4.473
0.00183500,-4.448
0.00184000,-4.457
0.00184500,-4.458
