t,i
0.00000000,-7.234
0.00000500,-7.409
0.00001000,-8.096
0.00001500,-7.968
0.00002000,-7.760
0.00002500,-7.968
0.00003000,-7.729
0.00003500,-7.665
0.00004000,-7.505
0.00004500,-7.074
0.00005000,-7.681
0.00005500,-7.457
0.00006000,-7.154
0.00006500,-7.489
0.00007000,-7.154
0.00007500,-7.377
0.00008000,-7.729
0.00008500,-7.218
0.00009000,-7.250
0.00009500,-7.649
0.00010000,-7.713
0.00010500,-8.128
0.00011000,-8.000
0.00011500,-8.048
0.00012000,-7.313
0.00012500,-7.297
0.00013000,-7.234
0.00013500,-7.186
0.00014000,-7.026
0.00014500,-7.745
0.00015000,-8.319
0.00015500,-8.096
0.00016000,-7.824
0.00016500,-7.633
0.00017000,-7.633
0.00017500,-7.489
0.00018000,-7.265
0.00018500,-7.441
0.00019000,-7.457
0.00019500,-7.872
0.00020000,-7.585
0.00020500,-7.505
0.00021000,-7.393
0.00021500,-7.745
0.00022000,-7.138
0.00022500,-7.505
0.00023000,-6.994
0.00023500,-7.154
0.00024000,-7.521
0.00024500,-8.016
0.00025000,-6.834
0.00025500,-7.202
0.00026000,-7.729
0.00026500,-7.122
0.00027000,-7.281
0.00027500,-7.585
0.00028000,-8.032
0.00028500,-8.447
0.00029000,-7.585
0.00029500,-7.840
0.00030000,-7.888
0.00030500,-7.617
0.00031000,-7.888
0.00031500,-7.697
0.00032000,-7.457
0.00032500,-7.425
0.00033000,-7.154
0.00033500,-7.377
0.00034000,-7.202
0.00034500,-7.713
0.00035000,-7.457
0.00035500,-7.776
0.00036000,-7.138
0.00036500,-6.882
0.00037000,-7.729
0.00037500,-7.345
0.00038000,-7.297
0.00038500,-6.770
0.00039000,-7.058
0.00039500,-6.994
0.00040000,-7.234
0.00040500,-7.170
0.00041000,-6.962
0.00041500,-6.930
0.00042000,-7.425
0.00042500,-7.441
0.00043000,-7.281
0.00043500,-7.250
0.00044000,-6.914
0.00044500,-6.978
0.00045000,-6.355
0.00045500,-6.786
0.00046000,-7.234
0.00046500,-6.435
0.00047000,-6.770
0.00047500,-7.218
0.00048000,-7.154
0.00048500,-7.776
0.00049000,-7.952
0.00049500,-7.489
0.00050000,-7.329
0.00050500,-7.265
0.00051000,-7.345
0.00051500,-7.010
0.00052000,-7.713
0.00052500,-7.824
0.00053000,-7.713
0.00053500,-7.489
0.00054000,-7.713
0.00054500,-7.409
0.00055000,-7.090
0.00055500,-7.505
0.00056000,-6.739
0.00056500,-7.377
0.00057000,-7.856
0.00057500,-7.297
0.00058000,-7.361
0.00058500,-7.250
0.00059000,-6.882
0.00059500,-6.371
0.00060000,-6.946
0.00060500,-7.297
0.00061000,-7.393
0.00061500,-7.234
0.00062000,-7.473
0.00062500,-7.665
0.00063000,-7.473
0.00063500,-7.840
0.00064000,-7.760
0.00064500,-8.032
0.00065000,-7.824
0.00065500,-7.808
0.00066000,-7.250
0.00066500,-7.473
0.00067000,-7.888
0.00067500,-7.968
0.00068000,-8.240
0.00068500,-8.112
0.00069000,-7.697
0.00069500,-8.096
0.00070000,-7.489
0.00070500,-7.250
0.00071000,-7.553
0.00071500,-7.808
0.00072000,-8.048
0.00072500,-8.096
0.00073000,-7.760
0.00073500,-8.000
0.00074000,-7.697
0.00074500,-7.904
0.00075000,-8.415
0.00075500,-7.409
0.00076000,-7.154
0.00076500,-7.760
0.00077000,-7.792
0.00077500,-7.808
0.00078000,-8.080
0.00078500,-7.537
0.00079000,-7.872
0.00079500,-6.978
0.00080000,-7.760
0.00080500,-7.617
0.00081000,-7.250
0.00081500,-7.234
0.00082000,-7.633
0.00082500,-7.329
0.00083000,-7.729
0.00083500,-8.000
0.00084000,-7.505
0.00084500,-6.978
0.00085000,-7.697
0.00085500,-7.968
0.00086000,-7.425
0.00086500,-7.633
0.00087000,-7.665
0.00087500,-8.064
0.00088000,-7.776
0.00088500,-7.090
0.00089000,-7.920
0.00089500,-7.441
0.00090000,-7.521
0.00090500,-7.745
0.00091000,-7.713
0.00091500,-7.745
0.00092000,-7.888
0.00092500,-7.872
0.00093000,-7.697
0.00093500,-8.016
0.00094000,-7.968
0.00094500,-7.665
0.00095000,-7.713
0.00095500,-7.585
0.00096000,-7.697
0.00096500,-7.489
0.00097000,-7.361
0.00097500,-7.329
0.00098000,-7.473
0.00098500,-7.457
0.00099000,-7.617
0.00099500,-7.250
0.00100000,-7.170
0.00100500,-7.265
0.00101000,-7.840
0.00101500,-8.048
0.00102000,-7.872
0.00102500,-7.776
0.00103000,-7.281
0.00103500,-7.633
0.00104000,-7.473
0.00104500,-7.569
0.00105000,-8.192
0.00105500,-7.505
0.00106000,-7.425
0.00106500,-7.377
0.00107000,-8.224
0.00107500,-7.824
0.00108000,-7.361
0.00108500,-7.968
0.00109000,-7.952
0.00109500,-7.840
0.00110000,-7.840
0.00110500,-7.313
0.00111000,-7.505
0.00111500,-7.904
0.00112000,-8.128
0.00112500,-8.096
0.00113000,-7.792
0.00113500,-7.281
0.00114000,-8.447
0.00114500,-8.112
0.00115000,-7.505
0.00115500,-7.553
0.00116000,-7.074
0.00116500,-7.329
0.00117000,-7.186
0.00117500,-7.537
0.00118000,-8.543
0.00118500,-8.096
0.00119000,-7.856
0.00119500,-7.505
0.00120000,-7.186
0.00120500,-8.000
0.00121000,-7.186
0.00121500,-7.569
0.00122000,-7.633
0.00122500,-7.824
0.00123000,-7.856
0.00123500,-7.920
0.00124000,-7.697
0.00124500,-6.882
0.00125000,-7.697
0.00125500,-7.681
0.00126000,-7.297
0.00126500,-7.202
0.00127000,-7.393
0.00127500,-7.377
0.00128000,-7.537
0.00128500,-7.840
0.00129000,-8.255
0.00129500,-7.409
0.00130000,-7.792
0.00130500,-8.527
0.00131000,-7.888
0.00131500,-8.224
0.00132000,-8.016
0.00132500,-7.904
0.00133000,-8.032
0.00133500,-7.665
0.00134000,-7.824
0.00134500,-7.665
0.00135000,-7.521
0.00135500,-8.240
0.00136000,-7.872
0.00136500,-7.824
0.00137000,-7.760
0.00137500,-7.218
0.00138000,-7.361
0.00138500,-7.681
0.00139000,-8.144
0.00139500,-8.431
0.00140000,-8.192
0.00140500,-7.856
0.00141000,-7.425
0.00141500,-7.218
0.00142000,-7.904
0.00142500,-7.441
0.00143000,-7.521
0.00143500,-7.824
0.00144000,-7.377
0.00144500,-7.329
0.00145000,-7.441
0.00145500,-7.872
0.00146000,-7.760
0.00146500,-7.489
0.00147000,-7.872
0.00147500,-7.601
0.00148000,-7.313
0.00148500,-7.681
0.00149000,-7.856
0.00149500,-7.936
0.00150000,-8.048
0.00150500,-7.265
0.00151000,-7.457
0.00151500,-7.186
0.00152000,-7.729
0.00152500,-7.265
0.00153000,-7.840
0.00153500,-7.856
0.00154000,-7.585
0.00154500,-7.393
0.00155000,-7.122
0.00155500,-7.393
0.00156000,-7.872
0.00156500,-7.250
0.00157000,-7.505
0.00157500,-7.920
0.00158000,-7.633
0.00158500,-7.377
0.00159000,-8.543
0.00159500,-8.383
0.00160000,-7.729
0.00160500,-8.048
0.00161000,-7.633
0.00161500,-7.601
0.00162000,-7.409
0.00162500,-7.074
0.00163000,-6.978
0.00163500,-7.297
0.00164000,-8.128
0.00164500,-7.681
0.00165000,-7.393
0.00165500,-7.202
0.00166000,-7.745
0.00166500,-6.914
0.00167000,-7.058
0.00167500,-7.329
0.00168000,-7.377
0.00168500,-7.377
0.00169000,-7.936
0.00169500,-7.920
0.00170000,-7.521
0.00170500,-8.112
0.00171000,-7.649
0.00171500,-7.633
0.00172000,-8.048
0.00172500,-7.218
0.00173000,-7.281
0.00173500,-7.473
0.00174000,-8.192
0.00174500,-7.537
0.00175000,-7.505
0.00175500,-7.665
0.00176000,-7.713
0.00176500,-7.872
0.00177000,-7.010
0.00177500,-7.601
0.00178000,-7.457
0.00178500,-7.537
0.00179000,-7.154
0.00179500,-6.914
0.00180000,-7.473
0.00180500,-7.665
0.00181000,-7.697
0.00181500,-7.665
0.00182000,-8.255
0.00182500,-8.335
0.00183000,-8.287
0.00183500,-8.080
0.00184000,-8.016
0.00184500,-7.585
0.00185000,-7.409
0.00185500,-7.202
0.00186000,-8.128
0.00186500,-7.553
0.00187000,-7.633
0.00187500,-8.240
0.00188000,-7.713
0.00188500,-7.729
0.00189000,-7.665
0.00189500,-7.697
0.00190000,-7.713
0.00190500,-7.824
0.00191000,-7.920
0.00191500,-7.840
0.00192000,-7.026
0.00192500,-7.170
0.00193000,-8.160
0.00193500,-7.856
0.00194000,-8.064
0.00194500,-7.377
0.00195000,-7.665
0.00195500,-7.904
0.00196000,-8.160
0.00196500,-8.032
0.00197000,-7.952
0.00197500,-7.888
0.00198000,-7.729
0.00198500,-8.128
0.00199000,-7.505
0.00199500,-7.425
0.00200000,-8.064
0.00200500,-7.952
0.00201000,-8.208
0.00201500,-8.112
0.00202000,-8.240
0.00202500,-8.032
0.00203000,-7.713
0.00203500,-8.032
0.00204000,-8.128
0.00204500,-8.048
0.00205000,-7.856
0.00205500,-7.792
0.00206000,-7.569
0.00206500,-7.473
0.00207000,-7.441
0.00207500,-8.240
0.00208000,-8.255
0.00208500,-8.463
0.00209000,-8.160
0.00209500,-7.505
0.00210000,-8.096
0.00210500,-7.824
0.00211000,-7.824
0.00211500,-8.447
0.00212000,-7.920
0.00212500,-8.623
0.00213000,-8.415
0.00213500,-8.511
0.00214000,-8.000
0.00214500,-7.808
0.00215000,-8.080
0.00215500,-7.952
0.00216000,-7.760
0.00216500,-7.729
0.00217000,-7.952
0.00217500,-8.351
0.00218000,-7.649
0.00218500,-7.489
0.00219000,-7.186
0.00219500,-7.473
0.00220000,-7.521
0.00220500,-7.250
0.00221000,-7.457
0.00221500,-7.441
0.00222000,-7.234
0.00222500,-7.665
0.00223000,-8.048
0.00223500,-7.297
0.00224000,-7.808
0.00224500,-7.074
0.00225000,-7.649
0.00225500,-7.665
0.00226000,-7.697
0.00226500,-7.808
0.00227000,-7.218
