t,i
0.00000000,12.140
0.00000500,12.148
0.00001000,12.150
0.00001500,12.156
0.00002000,12.158
0.00002500,12.170
0.00003000,12.183
0.00003500,12.195
0.00004000,12.211
0.00004500,12.219
0.00005000,12.217
0.00005500,12.222
0.00006000,12.228
0.00006500,12.232
0.00007000,12.251
0.00007500,12.262
0.00008000,12.270
0.00008500,12.291
0.00009000,12.293
0.00009500,12.291
0.00010000,12.296
0.00010500,12.306
0.00011000,12.314
0.00011500,12.328
0.00012000,12.349
0.00012500,12.352
0.00013000,12.357
0.00013500,12.360
0.00014000,12.362
0.00014500,12.362
0.00015000,12.378
0.00015500,12.389
0.00016000,12.405
0.00016500,12.415
0.00017000,12.423
0.00017500,12.428
0.00018000,12.425
0.00018500,12.434
0.00019000,12.441
0.00019500,12.454
0.00020000,12.463
0.00020500,12.480
0.00021000,12.486
0.00021500,12.486
0.00022000,12.486
0.00022500,12.494
0.00023000,12.500
0.00023500,12.510
0.00024000,12.529
0.00024500,12.529
0.00025000,12.539
0.00025500,12.539
0.00026000,12.541
0.00026500,12.544
0.00027000,12.550
0.00027500,12.557
0.00028000,12.563
0.00028500,12.578
0.00029000,12.589
0.00029500,12.592
0.00030000,12.591
0.00030500,12.591
0.00031000,12.603
0.00031500,12.608
0.00032000,12.621
0.00032500,12.636
0.00033000,12.639
0.00033500,12.641
0.00034000,12.644
0.00034500,12.647
0.00035000,12.652
0.00035500,12.655
0.00036000,12.669
0.00036500,12.678
0.00037000,12.692
0.00037500,12.697
0.00038000,12.690
0.00038500,12.694
0.00039000,12.697
0.00039500,12.695
0.00040000,12.715
0.00040500,12.724
0.00041000,12.734
0.00041500,12.744
0.00042000,12.739
0.00042500,12.727
0.00043000,12.739
0.00043500,12.748
0.00044000,12.753
0.00044500,12.764
0.00045000,12.776
0.00045500,12.784
0.00046000,12.782
0.00046500,12.781
0.00047000,12.784
0.00047500,12.785
0.00048000,12.798
0.00048500,12.811
0.00049000,12.826
0.00049500,12.830
0.00050000,12.829
0.00050500,12.816
0.00051000,12.824
0.00051500,12.832
0.00052000,12.839
0.00052500,12.847
0.00053000,12.855
0.00053500,12.861
0.00054000,12.861
0.00054500,12.861
0.00055000,12.856
0.00055500,12.866
0.00056000,12.872
0.00056500,12.876
0.00057000,12.887
0.00057500,12.895
0.00058000,12.895
0.00058500,12.892
0.00059000,12.890
0.00059500,12.890
0.00060000,12.900
0.00060500,12.908
0.00061000,12.911
0.00061500,12.921
0.00062000,12.925
0.00062500,12.921
0.00063000,12.919
0.00063500,12.916
0.00064000,12.922
0.00064500,12.932
0.00065000,12.938
0.00065500,12.945
0.00066000,12.950
0.00066500,12.946
0.00067000,12.945
0.00067500,12.943
0.00068000,12.951
0.00068500,12.953
0.00069000,12.964
0.00069500,12.972
0.00070000,12.972
0.00070500,12.971
0.00071000,12.962
0.00071500,12.969
0.00072000,12.969
0.00072500,12.975
0.00073000,12.987
0.00073500,12.993
0.00074000,12.998
0.00074500,12.998
0.00075000,12.996
0.00075500,12.991
0.00076000,12.996
0.00076500,13.001
0.00077000,13.006
0.00077500,13.017
0.00078000,13.025
0.00078500,13.030
0.00079000,13.019
0.00079500,13.019
0.00080000,13.024
0.00080500,13.027
0.00081000,13.030
0.00081500,13.040
0.00082000,13.046
0.00082500,13.048
0.00083000,13.041
0.00083500,13.040
