t,i
0.00000000,-21.399
0.00000500,-21.362
0.00001000,-21.370
0.00001500,-21.378
0.00002000,-21.399
0.00002500,-21.489
0.00003000,-21.576
0.00003500,-21.604
0.00004000,-21.634
0.00004500,-21.637
0.00005000,-21.581
0.00005500,-21.536
0.00006000,-21.525
0.00006500,-21.533
0.00007000,-21.589
0.00007500,-21.668
0.00008000,-21.715
0.00008500,-21.755
0.00009000,-21.773
0.00009500,-21.716
0.00010000,-21.634
0.00010500,-21.626
0.00011000,-21.649
0.00011500,-21.697
0.00012000,-21.808
0.00012500,-21.913
0.00013000,-21.961
0.00013500,-21.963
0.00014000,-21.898
0.00014500,-21.811
0.00015000,-21.731
0.00015500,-21.702
0.00016000,-21.736
0.00016500,-21.853
0.00017000,-21.988
0.00017500,-22.075
0.00018000,-22.103
0.00018500,-22.095
0.00019000,-22.049
0.00019500,-21.951
0.00020000,-21.874
0.00020500,-21.880
0.00021000,-21.967
0.00021500,-22.061
0.00022000,-22.161
0.00022500,-22.218
0.00023000,-22.218
0.00023500,-22.164
0.00024000,-22.104
0.00024500,-22.027
0.00025000,-21.995
0.00025500,-22.059
0.00026000,-22.164
0.00026500,-22.273
0.00027000,-22.352
0.00027500,-22.352
0.00028000,-22.281
0.00028500,-22.236
0.00029000,-22.161
0.00029500,-22.074
0.00030000,-22.099
0.00030500,-22.238
0.00031000,-22.359
0.00031500,-22.447
0.00032000,-22.508
0.00032500,-22.478
0.00033000,-22.404
0.00033500,-22.318
0.00034000,-22.183
0.00034500,-22.117
0.00035000,-22.196
0.00035500,-22.304
0.00036000,-22.408
0.00036500,-22.537
0.00037000,-22.571
0.00037500,-22.529
0.00038000,-22.489
0.00038500,-22.396
0.00039000,-22.289
0.00039500,-22.293
0.00040000,-22.396
0.00040500,-22.481
0.00041000,-22.584
0.00041500,-22.640
0.00042000,-22.605
0.00042500,-22.549
0.00043000,-22.499
0.00043500,-22.371
0.00044000,-22.338
0.00044500,-22.444
0.00045000,-22.571
0.00045500,-22.661
0.00046000,-22.774
0.00046500,-22.771
0.00047000,-22.689
0.00047500,-22.594
0.00048000,-22.487
0.00048500,-22.384
0.00049000,-22.433
0.00049500,-22.553
0.00050000,-22.682
0.00050500,-22.803
0.00051000,-22.827
0.00051500,-22.763
0.00052000,-22.677
0.00052500,-22.569
0.00053000,-22.442
0.00053500,-22.425
0.00054000,-22.528
0.00054500,-22.648
0.00055000,-22.769
0.00055500,-22.845
0.00056000,-22.837
0.00056500,-22.780
0.00057000,-22.684
0.00057500,-22.553
0.00058000,-22.484
0.00058500,-22.507
0.00059000,-22.584
0.00059500,-22.706
0.00060000,-22.817
0.00060500,-22.872
0.00061000,-22.843
0.00061500,-22.772
0.00062000,-22.689
0.00062500,-22.602
0.00063000,-22.537
0.00063500,-22.560
0.00064000,-22.676
0.00064500,-22.779
0.00065000,-22.827
0.00065500,-22.848
0.00066000,-22.843
0.00066500,-22.764
0.00067000,-22.692
0.00067500,-22.652
0.00068000,-22.661
0.00068500,-22.718
0.00069000,-22.832
0.00069500,-22.877
0.00070000,-22.903
0.00070500,-22.890
0.00071000,-22.788
0.00071500,-22.689
0.00072000,-22.666
0.00072500,-22.632
0.00073000,-22.655
0.00073500,-22.767
0.00074000,-22.893
0.00074500,-22.935
0.00075000,-22.953
0.00075500,-22.887
0.00076000,-22.795
0.00076500,-22.740
0.00077000,-22.700
0.00077500,-22.666
0.00078000,-22.738
0.00078500,-22.848
0.00079000,-22.898
0.00079500,-22.927
0.00080000,-22.941
0.00080500,-22.867
0.00081000,-22.787
0.00081500,-22.771
0.00082000,-22.753
0.00082500,-22.753
0.00083000,-22.814
0.00083500,-22.872
0.00084000,-22.898
0.00084500,-22.919
0.00085000,-22.850
0.00085500,-22.774
0.00086000,-22.787
0.00086500,-22.795
0.00087000,-22.771
0.00087500,-22.814
0.00088000,-22.890
0.00088500,-22.906
0.00089000,-22.903
0.00089500,-22.883
0.00090000,-22.819
0.00090500,-22.798
0.00091000,-22.811
0.00091500,-22.803
0.00092000,-22.819
0.00092500,-22.877
0.00093000,-22.908
0.00093500,-22.948
0.00094000,-22.972
0.00094500,-22.935
0.00095000,-22.883
0.00095500,-22.877
0.00096000,-22.853
0.00096500,-22.788
0.00097000,-22.780
0.00097500,-22.808
0.00098000,-22.850
0.00098500,-22.904
0.00099000,-22.917
0.00099500,-22.904
0.00100000,-22.927
0.00100500,-22.945
0.00101000,-22.908
0.00101500,-22.854
0.00102000,-22.872
0.00102500,-22.901
0.00103000,-22.928
0.00103500,-22.938
0.00104000,-22.928
0.00104500,-22.906
0.00105000,-22.914
0.00105500,-22.898
0.00106000,-22.850
0.00106500,-22.814
0.00107000,-22.840
0.00107500,-22.903
0.00108000,-22.932
0.00108500,-22.956
0.00109000,-22.978
0.00109500,-22.998
0.00110000,-23.009
0.00110500,-22.978
0.00111000,-22.895
0.00111500,-22.864
0.00112000,-22.893
0.00112500,-22.911
0.00113000,-22.904
0.00113500,-22.945
0.00114000,-22.994
0.00114500,-23.001
0.00115000,-23.001
0.00115500,-22.957
0.00116000,-22.895
0.00116500,-22.861
0.00117000,-22.891
0.00117500,-22.903
0.00118000,-22.940
0.00118500,-23.002
0.00119000,-23.044
0.00119500,-23.083
0.00120000,-23.070
0.00120500,-22.980
0.00121000,-22.899
0.00121500,-22.903
0.00122000,-22.906
0.00122500,-22.912
0.00123000,-22.978
0.00123500,-23.064
0.00124000,-23.081
0.00124500,-23.072
0.00125000,-23.012
0.00125500,-22.911
0.00126000,-22.856
0.00126500,-22.866
0.00127000,-22.901
0.00127500,-22.994
0.00128000,-23.110
0.00128500,-23.167
0.00129000,-23.172
0.00129500,-23.141
0.00130000,-23.014
0.00130500,-22.883
0.00131000,-22.840
0.00131500,-22.864
0.00132000,-22.917
0.00132500,-23.027
0.00133000,-23.123
0.00133500,-23.175
0.00134000,-23.181
0.00134500,-23.112
0.00135000,-22.990
0.00135500,-22.917
0.00136000,-22.898
0.00136500,-22.927
0.00137000,-23.012
0.00137500,-23.112
0.00138000,-23.168
0.00138500,-23.165
0.00139000,-23.130
0.00139500,-23.040
0.00140000,-22.936
0.00140500,-22.872
0.00141000,-22.896
0.00141500,-22.994
0.00142000,-23.104
0.00142500,-23.167
0.00143000,-23.199
0.00143500,-23.197
0.00144000,-23.141
0.00144500,-23.007
0.00145000,-22.899
0.00145500,-22.874
0.00146000,-22.953
0.00146500,-23.049
0.00147000,-23.162
0.00147500,-23.244
0.00148000,-23.250
0.00148500,-23.184
0.00149000,-23.091
0.00149500,-22.941
0.00150000,-22.837
0.00150500,-22.882
0.00151000,-23.011
0.00151500,-23.154
0.00152000,-23.265
0.00152500,-23.310
0.00153000,-23.257
0.00153500,-23.172
0.00154000,-23.002
0.00154500,-22.822
0.00155000,-22.780
0.00155500,-22.904
0.00156000,-23.035
0.00156500,-23.175
0.00157000,-23.289
0.00157500,-23.318
0.00158000,-23.255
0.00158500,-23.147
0.00159000,-22.969
0.00159500,-22.840
0.00160000,-22.869
0.00160500,-22.990
0.00161000,-23.106
0.00161500,-23.220
0.00162000,-23.257
0.00162500,-23.226
0.00163000,-23.160
0.00163500,-23.023
0.00164000,-22.872
0.00164500,-22.870
0.00165000,-22.993
0.00165500,-23.112
0.00166000,-23.225
0.00166500,-23.289
0.00167000,-23.278
0.00167500,-23.210
0.00168000,-23.094
0.00168500,-22.908
0.00169000,-22.824
0.00169500,-22.879
0.00170000,-22.994
0.00170500,-23.115
0.00171000,-23.241
0.00171500,-23.287
0.00172000,-23.270
0.00172500,-23.183
0.00173000,-23.056
0.00173500,-22.909
0.00174000,-22.875
0.00174500,-22.945
0.00175000,-23.065
0.00175500,-23.167
0.00176000,-23.228
0.00176500,-23.233
0.00177000,-23.210
0.00177500,-23.088
0.00178000,-22.925
0.00178500,-22.854
0.00179000,-22.893
0.00179500,-22.982
0.00180000,-23.091
0.00180500,-23.188
0.00181000,-23.242
0.00181500,-23.244
0.00182000,-23.152
0.00182500,-23.011
0.00183000,-22.904
0.00183500,-22.867
0.00184000,-22.896
0.00184500,-23.004
0.00185000,-23.104
0.00185500,-23.178
0.00186000,-23.181
0.00186500,-23.123
0.00187000,-23.027
0.00187500,-22.936
0.00188000,-22.861
0.00188500,-22.879
0.00189000,-22.986
0.00189500,-23.078
0.00190000,-23.128
0.00190500,-23.157
0.00191000,-23.122
0.00191500,-22.988
0.00192000,-22.880
0.00192500,-22.821
0.00193000,-22.801
0.00193500,-22.867
0.00194000,-22.985
0.00194500,-23.062
0.00195000,-23.110
0.00195500,-23.143
0.00196000,-23.064
0.00196500,-22.949
0.00197000,-22.920
0.00197500,-22.858
0.00198000,-22.829
0.00198500,-22.906
0.00199000,-22.982
0.00199500,-22.998
0.00200000,-23.027
0.00200500,-22.986
0.00201000,-22.877
0.00201500,-22.838
0.00202000,-22.798
0.00202500,-22.745
0.00203000,-22.774
0.00203500,-22.862
0.00204000,-22.885
0.00204500,-22.904
0.00205000,-22.925
0.00205500,-22.846
0.00206000,-22.772
0.00206500,-22.764
0.00207000,-22.726
0.00207500,-22.687
0.00208000,-22.751
