t,i
0.00000000,0.306
0.00000500,0.441
0.00001000,0.404
0.00001500,0.237
0.00002000,0.158
0.00002500,0.282
0.00003000,0.380
0.00003500,0.330
0.00004000,0.201
0.00004500,0.145
0.00005000,0.218
0.00005500,0.316
0.00006000,0.282
0.00006500,0.172
0.00007000,0.126
0.00007500,0.184
0.00008000,0.269
0.00008500,0.253
0.00009000,0.126
0.00009500,0.052
0.00010000,0.113
0.00010500,0.209
0.00011000,0.168
0.00011500,0.074
0.00012000,0.015
0.00012500,0.049
0.00013000,0.132
0.00013500,0.111
0.00014000,0.002
0.00014500,-0.019
0.00015000,0.047
0.00015500,0.084
0.00016000,0.063
0.00016500,0.011
0.00017000,-0.061
0.00017500,-0.071
0.00018000,0.002
0.00018500,0.028
0.00019000,-0.045
0.00019500,-0.111
0.00020000,-0.085
0.00020500,0.003
0.00021000,-0.022
0.00021500,-0.149
0.00022000,-0.188
0.00022500,-0.111
0.00023000,-0.087
0.00023500,-0.114
0.00024000,-0.112
0.00024500,-0.127
0.00025000,-0.149
0.00025500,-0.111
0.00026000,-0.067
0.00026500,-0.085
0.00027000,-0.087
0.00027500,-0.064
0.00028000,-0.034
0.00028500,-0.017
0.00029000,-0.040
0.00029500,-0.095
0.00030000,-0.092
0.00030500,-0.064
0.00031000,-0.083
0.00031500,-0.122
0.00032000,-0.133
0.00032500,-0.166
0.00033000,-0.177
0.00033500,-0.167
0.00034000,-0.190
0.00034500,-0.217
0.00035000,-0.219
0.00035500,-0.219
0.00036000,-0.228
0.00036500,-0.227
0.00037000,-0.257
0.00037500,-0.310
0.00038000,-0.370
0.00038500,-0.425
0.00039000,-0.446
0.00039500,-0.417
0.00040000,-0.370
0.00040500,-0.351
0.00041000,-0.336
0.00041500,-0.351
0.00042000,-0.388
0.00042500,-0.401
0.00043000,-0.393
0.00043500,-0.391
0.00044000,-0.389
0.00044500,-0.397
0.00045000,-0.447
0.00045500,-0.481
0.00046000,-0.508
0.00046500,-0.560
0.00047000,-0.603
0.00047500,-0.631
0.00048000,-0.663
0.00048500,-0.684
0.00049000,-0.668
0.00049500,-0.686
0.00050000,-0.727
0.00050500,-0.774
0.00051000,-0.795
0.00051500,-0.787
0.00052000,-0.789
0.00052500,-0.851
0.00053000,-0.922
0.00053500,-0.914
0.00054000,-0.896
0.00054500,-0.950
0.00055000,-1.006
0.00055500,-1.036
0.00056000,-1.038
0.00056500,-1.016
0.00057000,-0.995
0.00057500,-1.061
0.00058000,-1.135
0.00058500,-1.146
0.00059000,-1.115
0.00059500,-1.093
0.00060000,-1.154
0.00060500,-1.259
0.00061000,-1.247
0.00061500,-1.175
0.00062000,-1.191
0.00062500,-1.304
0.00063000,-1.370
0.00063500,-1.336
0.00064000,-1.292
0.00064500,-1.294
0.00065000,-1.357
0.00065500,-1.437
0.00066000,-1.441
0.00066500,-1.387
0.00067000,-1.371
0.00067500,-1.436
0.00068000,-1.545
0.00068500,-1.555
0.00069000,-1.436
0.00069500,-1.384
0.00070000,-1.526
0.00070500,-1.664
0.00071000,-1.640
0.00071500,-1.556
0.00072000,-1.582
0.00072500,-1.693
0.00073000,-1.774
0.00073500,-1.729
0.00074000,-1.653
0.00074500,-1.666
0.00075000,-1.748
0.00075500,-1.835
0.00076000,-1.838
0.00076500,-1.738
0.00077000,-1.653
0.00077500,-1.759
0.00078000,-1.928
0.00078500,-1.904
0.00079000,-1.756
0.00079500,-1.732
0.00080000,-1.872
0.00080500,-2.015
0.00081000,-1.964
0.00081500,-1.819
