t,i
0.00000000,4.587
0.00000500,4.567
0.00001000,4.538
0.00001500,4.509
0.00002000,4.488
0.00002500,4.469
0.00003000,4.443
0.00003500,4.429
0.00004000,4.401
0.00004500,4.387
0.00005000,4.360
0.00005500,4.327
0.00006000,4.306
0.00006500,4.284
0.00007000,4.266
0.00007500,4.250
0.00008000,4.226
0.00008500,4.205
0.00009000,4.179
0.00009500,4.154
0.00010000,4.126
0.00010500,4.108
0.00011000,4.086
0.00011500,4.065
0.00012000,4.049
0.00012500,4.025
0.00013000,4.004
0.00013500,3.976
0.00014000,3.946
0.00014500,3.925
0.00015000,3.902
0.00015500,3.885
0.00016000,3.862
0.00016500,3.851
0.00017000,3.820
0.00017500,3.793
0.00018000,3.761
0.00018500,3.741
0.00019000,3.717
0.00019500,3.700
0.00020000,3.685
0.00020500,3.666
0.00021000,3.648
0.00021500,3.626
0.00022000,3.588
0.00022500,3.561
0.00023000,3.543
0.00023500,3.524
0.00024000,3.498
0.00024500,3.485
0.00025000,3.465
0.00025500,3.439
0.00026000,3.410
0.00026500,3.384
0.00027000,3.365
0.00027500,3.341
0.00028000,3.315
0.00028500,3.304
0.00029000,3.284
0.00029500,3.260
0.00030000,3.233
0.00030500,3.205
0.00031000,3.188
0.00031500,3.165
0.00032000,3.143
0.00032500,3.125
0.00033000,3.106
0.00033500,3.085
0.00034000,3.057
0.00034500,3.023
0.00035000,3.006
0.00035500,2.985
0.00036000,2.957
0.00036500,2.948
0.00037000,2.928
0.00037500,2.904
0.00038000,2.869
0.00038500,2.843
0.00039000,2.821
0.00039500,2.800
0.00040000,2.774
0.00040500,2.753
0.00041000,2.742
0.00041500,2.719
0.00042000,2.684
0.00042500,2.655
0.00043000,2.637
0.00043500,2.615
0.00044000,2.584
0.00044500,2.576
0.00045000,2.552
0.00045500,2.536
0.00046000,2.503
0.00046500,2.475
0.00047000,2.452
0.00047500,2.436
0.00048000,2.407
0.00048500,2.391
0.00049000,2.376
0.00049500,2.362
0.00050000,2.330
0.00050500,2.297
0.00051000,2.283
0.00051500,2.257
0.00052000,2.228
0.00052500,2.220
0.00053000,2.202
0.00053500,2.182
0.00054000,2.156
0.00054500,2.128
0.00055000,2.101
0.00055500,2.075
0.00056000,2.058
0.00056500,2.032
0.00057000,2.019
0.00057500,2.003
0.00058000,1.974
0.00058500,1.948
0.00059000,1.921
0.00059500,1.901
0.00060000,1.876
0.00060500,1.856
0.00061000,1.842
0.00061500,1.824
0.00062000,1.798
0.00062500,1.769
0.00063000,1.752
0.00063500,1.726
0.00064000,1.703
0.00064500,1.684
0.00065000,1.663
0.00065500,1.644
0.00066000,1.626
0.00066500,1.600
0.00067000,1.568
0.00067500,1.544
0.00068000,1.520
0.00068500,1.502
0.00069000,1.488
0.00069500,1.470
0.00070000,1.447
0.00070500,1.423
0.00071000,1.396
0.00071500,1.361
0.00072000,1.344
0.00072500,1.325
0.00073000,1.303
0.00073500,1.282
0.00074000,1.264
0.00074500,1.245
0.00075000,1.204
0.00075500,1.183
0.00076000,1.161
0.00076500,1.145
0.00077000,1.121
0.00077500,1.098
0.00078000,1.077
0.00078500,1.059
0.00079000,1.031
0.00079500,1.000
0.00080000,0.976
0.00080500,0.961
0.00081000,0.940
0.00081500,0.911
0.00082000,0.897
0.00082500,0.882
0.00083000,0.849
0.00083500,0.815
0.00084000,0.791
0.00084500,0.766
0.00085000,0.746
0.00085500,0.725
0.00086000,0.707
0.00086500,0.683
0.00087000,0.657
0.00087500,0.623
0.00088000,0.597
0.00088500,0.577
0.00089000,0.552
0.00089500,0.531
0.00090000,0.514
0.00090500,0.494
0.00091000,0.467
0.00091500,0.435
0.00092000,0.409
0.00092500,0.383
0.00093000,0.359
0.00093500,0.337
0.00094000,0.321
0.00094500,0.303
0.00095000,0.272
0.00095500,0.242
0.00096000,0.213
0.00096500,0.184
0.00097000,0.168
0.00097500,0.148
0.00098000,0.123
0.00098500,0.108
0.00099000,0.081
0.00099500,0.047
0.00100000,0.016
0.00100500,-0.006
0.00101000,-0.029
0.00101500,-0.056
0.00102000,-0.074
0.00102500,-0.092
0.00103000,-0.117
0.00103500,-0.148
0.00104000,-0.182
0.00104500,-0.211
0.00105000,-0.233
0.00105500,-0.251
0.00106000,-0.277
0.00106500,-0.294
0.00107000,-0.315
0.00107500,-0.347
0.00108000,-0.380
0.00108500,-0.402
0.00109000,-0.428
0.00109500,-0.444
0.00110000,-0.470
0.00110500,-0.492
0.00111000,-0.518
0.00111500,-0.539
0.00112000,-0.573
0.00112500,-0.602
0.00113000,-0.624
0.00113500,-0.647
0.00114000,-0.669
0.00114500,-0.687
0.00115000,-0.713
0.00115500,-0.729
0.00116000,-0.766
0.00116500,-0.797
0.00117000,-0.818
0.00117500,-0.847
0.00118000,-0.859
0.00118500,-0.892
0.00119000,-0.906
0.00119500,-0.932
0.00120000,-0.958
0.00120500,-0.993
0.00121000,-1.024
0.00121500,-1.038
0.00122000,-1.061
0.00122500,-1.080
0.00123000,-1.103
0.00123500,-1.123
0.00124000,-1.148
0.00124500,-1.189
0.00125000,-1.218
0.00125500,-1.233
0.00126000,-1.254
0.00126500,-1.283
0.00127000,-1.292
0.00127500,-1.315
0.00128000,-1.350
0.00128500,-1.381
0.00129000,-1.405
0.00129500,-1.428
0.00130000,-1.449
0.00130500,-1.470
0.00131000,-1.492
0.00131500,-1.510
0.00132000,-1.539
0.00132500,-1.569
0.00133000,-1.593
0.00133500,-1.611
0.00134000,-1.635
0.00134500,-1.663
0.00135000,-1.680
0.00135500,-1.692
0.00136000,-1.730
0.00136500,-1.758
0.00137000,-1.782
0.00137500,-1.806
0.00138000,-1.832
0.00138500,-1.851
0.00139000,-1.864
0.00139500,-1.880
0.00140000,-1.912
0.00140500,-1.946
0.00141000,-1.972
0.00141500,-1.990
0.00142000,-2.017
0.00142500,-2.043
0.00143000,-2.062
0.00143500,-2.080
0.00144000,-2.097
0.00144500,-2.131
0.00145000,-2.162
0.00145500,-2.179
0.00146000,-2.202
0.00146500,-2.233
0.00147000,-2.242
0.00147500,-2.262
0.00148000,-2.284
0.00148500,-2.320
0.00149000,-2.344
0.00149500,-2.366
0.00150000,-2.398
0.00150500,-2.416
0.00151000,-2.437
0.00151500,-2.452
0.00152000,-2.476
0.00152500,-2.505
0.00153000,-2.535
