t,i
0.00000000,2.796
0.00000500,2.793
0.00001000,2.783
0.00001500,2.764
0.00002000,2.745
0.00002500,2.725
0.00003000,2.706
0.00003500,2.693
0.00004000,2.684
0.00004500,2.667
0.00005000,2.651
0.00005500,2.622
0.00006000,2.613
0.00006500,2.610
0.00007000,2.600
0.00007500,2.597
0.00008000,2.606
0.00008500,2.600
0.00009000,2.587
0.00009500,2.581
0.00010000,2.581
0.00010500,2.584
0.00011000,2.584
0.00011500,2.590
0.00012000,2.584
0.00012500,2.584
0.00013000,2.587
0.00013500,2.577
0.00014000,2.587
0.00014500,2.600
0.00015000,2.603
0.00015500,2.603
0.00016000,2.622
0.00016500,2.619
0.00017000,2.613
0.00017500,2.622
0.00018000,2.622
0.00018500,2.613
0.00019000,2.616
0.00019500,2.603
0.00020000,2.584
0.00020500,2.577
0.00021000,2.555
0.00021500,2.510
0.00022000,2.494
0.00022500,2.471
0.00023000,2.436
0.00023500,2.416
0.00024000,2.394
0.00024500,2.365
0.00025000,2.329
0.00025500,2.287
0.00026000,2.252
0.00026500,2.246
0.00027000,2.226
0.00027500,2.194
0.00028000,2.184
0.00028500,2.204
0.00029000,2.191
0.00029500,2.165
0.00030000,2.155
0.00030500,2.159
0.00031000,2.139
0.00031500,2.130
0.00032000,2.146
0.00032500,2.123
0.00033000,2.110
0.00033500,2.094
0.00034000,2.075
0.00034500,2.085
0.00035000,2.081
0.00035500,2.068
0.00036000,2.078
0.00036500,2.078
0.00037000,2.059
0.00037500,2.052
0.00038000,2.056
0.00038500,2.049
0.00039000,2.033
0.00039500,2.033
0.00040000,2.046
0.00040500,2.059
0.00041000,2.049
0.00041500,2.039
0.00042000,2.046
0.00042500,2.049
0.00043000,2.052
0.00043500,2.052
0.00044000,2.068
0.00044500,2.072
0.00045000,2.059
0.00045500,2.043
0.00046000,2.030
0.00046500,2.020
0.00047000,2.010
0.00047500,1.988
0.00048000,1.975
0.00048500,1.965
0.00049000,1.940
0.00049500,1.914
0.00050000,1.895
0.00050500,1.875
0.00051000,1.837
0.00051500,1.824
0.00052000,1.817
0.00052500,1.788
0.00053000,1.763
0.00053500,1.743
0.00054000,1.727
0.00054500,1.740
0.00055000,1.753
0.00055500,1.730
0.00056000,1.734
0.00056500,1.750
0.00057000,1.734
0.00057500,1.724
0.00058000,1.727
0.00058500,1.708
0.00059000,1.682
0.00059500,1.688
0.00060000,1.688
0.00060500,1.679
0.00061000,1.685
0.00061500,1.676
0.00062000,1.653
0.00062500,1.637
0.00063000,1.624
0.00063500,1.589
0.00064000,1.589
0.00064500,1.601
0.00065000,1.560
0.00065500,1.563
0.00066000,1.569
0.00066500,1.553
0.00067000,1.547
0.00067500,1.566
0.00068000,1.566
0.00068500,1.569
0.00069000,1.573
0.00069500,1.579
0.00070000,1.576
0.00070500,1.579
0.00071000,1.556
0.00071500,1.550
0.00072000,1.560
0.00072500,1.553
0.00073000,1.553
0.00073500,1.560
0.00074000,1.553
0.00074500,1.534
0.00075000,1.515
0.00075500,1.498
0.00076000,1.482
0.00076500,1.463
0.00077000,1.453
0.00077500,1.431
0.00078000,1.418
0.00078500,1.386
0.00079000,1.357
0.00079500,1.347
0.00080000,1.347
0.00080500,1.318
0.00081000,1.302
0.00081500,1.299
0.00082000,1.283
0.00082500,1.299
0.00083000,1.321
0.00083500,1.331
0.00084000,1.312
0.00084500,1.315
0.00085000,1.318
0.00085500,1.312
0.00086000,1.315
0.00086500,1.305
0.00087000,1.279
0.00087500,1.283
0.00088000,1.279
0.00088500,1.263
0.00089000,1.270
0.00089500,1.283
0.00090000,1.267
0.00090500,1.254
0.00091000,1.244
0.00091500,1.234
0.00092000,1.231
0.00092500,1.238
0.00093000,1.231
0.00093500,1.244
0.00094000,1.250
0.00094500,1.241
0.00095000,1.231
0.00095500,1.257
0.00096000,1.257
0.00096500,1.279
0.00097000,1.305
0.00097500,1.302
0.00098000,1.283
0.00098500,1.279
0.00099000,1.263
0.00099500,1.250
0.00100000,1.244
0.00100500,1.234
0.00101000,1.225
0.00101500,1.228
0.00102000,1.215
0.00102500,1.196
0.00103000,1.173
0.00103500,1.157
0.00104000,1.141
0.00104500,1.122
0.00105000,1.109
0.00105500,1.099
0.00106000,1.086
0.00106500,1.057
0.00107000,1.038
0.00107500,1.028
0.00108000,1.022
0.00108500,1.022
0.00109000,1.054
0.00109500,1.051
0.00110000,1.044
0.00110500,1.031
0.00111000,1.028
0.00111500,1.028
0.00112000,1.022
0.00112500,1.015
0.00113000,1.015
0.00113500,1.022
0.00114000,1.012
0.00114500,1.012
0.00115000,0.999
0.00115500,1.002
0.00116000,0.999
0.00116500,0.980
0.00117000,0.993
0.00117500,1.002
0.00118000,0.983
0.00118500,0.983
0.00119000,0.961
0.00119500,0.951
0.00120000,0.957
0.00120500,0.961
0.00121000,0.954
0.00121500,0.964
0.00122000,0.974
0.00122500,0.961
0.00123000,0.970
0.00123500,0.980
0.00124000,0.957
0.00124500,0.951
0.00125000,0.961
0.00125500,0.967
0.00126000,0.980
0.00126500,0.999
0.00127000,0.996
0.00127500,0.974
0.00128000,0.957
0.00128500,0.951
0.00129000,0.935
0.00129500,0.938
0.00130000,0.925
0.00130500,0.906
0.00131000,0.899
0.00131500,0.880
0.00132000,0.851
0.00132500,0.832
0.00133000,0.822
0.00133500,0.812
0.00134000,0.800
0.00134500,0.800
0.00135000,0.796
0.00135500,0.796
0.00136000,0.806
0.00136500,0.803
0.00137000,0.812
0.00137500,0.816
0.00138000,0.809
0.00138500,0.806
0.00139000,0.816
0.00139500,0.816
0.00140000,0.787
0.00140500,0.790
0.00141000,0.793
0.00141500,0.783
0.00142000,0.774
0.00142500,0.790
0.00143000,0.774
0.00143500,0.777
0.00144000,0.764
0.00144500,0.751
0.00145000,0.758
0.00145500,0.764
0.00146000,0.748
0.00146500,0.738
0.00147000,0.764
0.00147500,0.755
0.00148000,0.732
0.00148500,0.719
0.00149000,0.735
0.00149500,0.735
0.00150000,0.726
0.00150500,0.719
0.00151000,0.745
0.00151500,0.735
0.00152000,0.719
0.00152500,0.709
0.00153000,0.745
0.00153500,0.764
0.00154000,0.745
0.00154500,0.751
0.00155000,0.767
0.00155500,0.745
0.00156000,0.726
0.00156500,0.732
0.00157000,0.716
0.00157500,0.687
0.00158000,0.680
0.00158500,0.668
0.00159000,0.651
0.00159500,0.658
0.00160000,0.629
0.00160500,0.616
0.00161000,0.606
0.00161500,0.606
0.00162000,0.581
0.00162500,0.571
0.00163000,0.577
0.00163500,0.574
0.00164000,0.590
0.00164500,0.597
0.00165000,0.577
0.00165500,0.571
0.00166000,0.571
0.00166500,0.568
0.00167000,0.574
0.00167500,0.574
0.00168000,0.558
0.00168500,0.555
0.00169000,0.552
0.00169500,0.539
0.00170000,0.555
0.00170500,0.564
0.00171000,0.545
0.00171500,0.548
0.00172000,0.552
0.00172500,0.529
0.00173000,0.529
0.00173500,0.516
0.00174000,0.507
0.00174500,0.507
0.00175000,0.516
0.00175500,0.500
0.00176000,0.503
0.00176500,0.500
0.00177000,0.484
0.00177500,0.474
0.00178000,0.474
0.00178500,0.474
0.00179000,0.465
0.00179500,0.503
0.00180000,0.529
0.00180500,0.542
0.00181000,0.532
0.00181500,0.507
0.00182000,0.516
0.00182500,0.507
0.00183000,0.503
0.00183500,0.490
0.00184000,0.494
0.00184500,0.481
0.00185000,0.445
0.00185500,0.439
0.00186000,0.420
0.00186500,0.407
0.00187000,0.378
0.00187500,0.374
0.00188000,0.368
0.00188500,0.349
0.00189000,0.323
