t,i
0.00000000,-2.934
0.00000500,-2.931
0.00001000,-2.923
0.00001500,-2.921
0.00002000,-2.924
0.00002500,-2.926
0.00003000,-2.932
0.00003500,-2.931
0.00004000,-2.931
0.00004500,-2.922
0.00005000,-2.920
0.00005500,-2.918
0.00006000,-2.916
0.00006500,-2.918
0.00007000,-2.923
0.00007500,-2.927
0.00008000,-2.923
0.00008500,-2.920
0.00009000,-2.919
0.00009500,-2.911
0.00010000,-2.911
0.00010500,-2.919
0.00011000,-2.920
0.00011500,-2.925
0.00012000,-2.924
0.00012500,-2.920
0.00013000,-2.917
0.00013500,-2.914
0.00014000,-2.910
0.00014500,-2.915
0.00015000,-2.921
0.00015500,-2.926
0.00016000,-2.924
0.00016500,-2.926
0.00017000,-2.921
0.00017500,-2.921
0.00018000,-2.916
0.00018500,-2.919
0.00019000,-2.930
0.00019500,-2.932
0.00020000,-2.936
0.00020500,-2.935
0.00021000,-2.930
0.00021500,-2.928
0.00022000,-2.926
0.00022500,-2.935
0.00023000,-2.937
0.00023500,-2.952
0.00024000,-2.952
0.00024500,-2.948
0.00025000,-2.946
0.00025500,-2.950
0.00026000,-2.946
0.00026500,-2.950
0.00027000,-2.961
0.00027500,-2.968
0.00028000,-2.973
0.00028500,-2.977
0.00029000,-2.977
0.00029500,-2.976
0.00030000,-2.973
0.00030500,-2.980
0.00031000,-2.988
0.00031500,-2.995
0.00032000,-3.000
0.00032500,-3.005
0.00033000,-3.006
0.00033500,-3.007
0.00034000,-3.007
0.00034500,-3.010
0.00035000,-3.015
0.00035500,-3.029
0.00036000,-3.033
0.00036500,-3.031
0.00037000,-3.036
0.00037500,-3.030
0.00038000,-3.033
0.00038500,-3.039
0.00039000,-3.049
0.00039500,-3.053
0.00040000,-3.056
0.00040500,-3.062
0.00041000,-3.064
0.00041500,-3.063
0.00042000,-3.064
0.00042500,-3.065
0.00043000,-3.067
0.00043500,-3.077
0.00044000,-3.087
0.00044500,-3.088
0.00045000,-3.095
0.00045500,-3.095
0.00046000,-3.094
0.00046500,-3.092
0.00047000,-3.095
0.00047500,-3.105
0.00048000,-3.114
0.00048500,-3.120
0.00049000,-3.120
0.00049500,-3.116
0.00050000,-3.124
0.00050500,-3.119
0.00051000,-3.119
0.00051500,-3.125
0.00052000,-3.140
0.00052500,-3.140
0.00053000,-3.143
0.00053500,-3.146
0.00054000,-3.143
0.00054500,-3.137
0.00055000,-3.144
0.00055500,-3.148
0.00056000,-3.152
0.00056500,-3.163
0.00057000,-3.162
0.00057500,-3.162
0.00058000,-3.161
0.00058500,-3.160
0.00059000,-3.156
0.00059500,-3.161
0.00060000,-3.174
0.00060500,-3.181
0.00061000,-3.177
0.00061500,-3.179
0.00062000,-3.175
0.00062500,-3.172
0.00063000,-3.166
0.00063500,-3.174
0.00064000,-3.181
0.00064500,-3.190
0.00065000,-3.191
0.00065500,-3.186
0.00066000,-3.186
0.00066500,-3.187
0.00067000,-3.183
0.00067500,-3.182
0.00068000,-3.187
0.00068500,-3.200
0.00069000,-3.196
0.00069500,-3.201
0.00070000,-3.194
0.00070500,-3.191
0.00071000,-3.186
0.00071500,-3.189
0.00072000,-3.195
0.00072500,-3.196
0.00073000,-3.204
0.00073500,-3.201
0.00074000,-3.194
0.00074500,-3.191
0.00075000,-3.187
0.00075500,-3.182
0.00076000,-3.183
0.00076500,-3.194
0.00077000,-3.197
0.00077500,-3.194
0.00078000,-3.192
0.00078500,-3.186
0.00079000,-3.179
0.00079500,-3.174
0.00080000,-3.178
0.00080500,-3.185
0.00081000,-3.183
0.00081500,-3.184
0.00082000,-3.181
0.00082500,-3.171
0.00083000,-3.174
0.00083500,-3.168
0.00084000,-3.164
0.00084500,-3.172
0.00085000,-3.174
0.00085500,-3.165
0.00086000,-3.165
0.00086500,-3.162
0.00087000,-3.157
0.00087500,-3.146
0.00088000,-3.148
0.00088500,-3.151
0.00089000,-3.155
0.00089500,-3.154
0.00090000,-3.148
0.00090500,-3.143
0.00091000,-3.143
0.00091500,-3.132
0.00092000,-3.130
0.00092500,-3.132
0.00093000,-3.137
0.00093500,-3.136
0.00094000,-3.133
0.00094500,-3.126
0.00095000,-3.121
0.00095500,-3.115
0.00096000,-3.108
0.00096500,-3.111
0.00097000,-3.112
0.00097500,-3.109
0.00098000,-3.110
0.00098500,-3.105
0.00099000,-3.102
0.00099500,-3.093
0.00100000,-3.088
0.00100500,-3.089
0.00101000,-3.094
0.00101500,-3.092
0.00102000,-3.089
0.00102500,-3.079
0.00103000,-3.079
0.00103500,-3.075
0.00104000,-3.065
0.00104500,-3.064
0.00105000,-3.070
0.00105500,-3.069
0.00106000,-3.068
0.00106500,-3.066
0.00107000,-3.051
0.00107500,-3.048
0.00108000,-3.043
0.00108500,-3.038
0.00109000,-3.044
0.00109500,-3.046
0.00110000,-3.041
0.00110500,-3.038
0.00111000,-3.032
0.00111500,-3.026
0.00112000,-3.017
0.00112500,-3.013
0.00113000,-3.016
0.00113500,-3.015
0.00114000,-3.019
0.00114500,-3.015
0.00115000,-3.008
0.00115500,-3.007
0.00116000,-2.997
0.00116500,-2.996
0.00117000,-2.998
0.00117500,-3.000
0.00118000,-3.000
0.00118500,-2.998
0.00119000,-2.987
0.00119500,-2.988
0.00120000,-2.982
0.00120500,-2.981
0.00121000,-2.978
0.00121500,-2.986
0.00122000,-2.984
0.00122500,-2.981
0.00123000,-2.977
0.00123500,-2.970
0.00124000,-2.968
0.00124500,-2.961
0.00125000,-2.957
0.00125500,-2.964
0.00126000,-2.965
0.00126500,-2.965
0.00127000,-2.959
0.00127500,-2.959
0.00128000,-2.947
0.00128500,-2.943
0.00129000,-2.943
0.00129500,-2.950
0.00130000,-2.950
0.00130500,-2.948
0.00131000,-2.949
0.00131500,-2.946
0.00132000,-2.941
0.00132500,-2.936
0.00133000,-2.932
0.00133500,-2.935
0.00134000,-2.943
0.00134500,-2.945
0.00135000,-2.937
0.00135500,-2.938
0.00136000,-2.936
0.00136500,-2.929
0.00137000,-2.923
0.00137500,-2.927
0.00138000,-2.929
0.00138500,-2.937
0.00139000,-2.937
0.00139500,-2.927
0.00140000,-2.931
0.00140500,-2.924
0.00141000,-2.922
0.00141500,-2.922
0.00142000,-2.928
0.00142500,-2.929
0.00143000,-2.931
0.00143500,-2.928
0.00144000,-2.924
0.00144500,-2.917
0.00145000,-2.918
0.00145500,-2.919
0.00146000,-2.923
0.00146500,-2.926
0.00147000,-2.927
0.00147500,-2.925
0.00148000,-2.922
0.00148500,-2.914
0.00149000,-2.915
0.00149500,-2.908
0.00150000,-2.912
0.00150500,-2.919
0.00151000,-2.919
0.00151500,-2.909
0.00152000,-2.910
0.00152500,-2.901
0.00153000,-2.893
0.00153500,-2.891
0.00154000,-2.893
0.00154500,-2.896
0.00155000,-2.894
0.00155500,-2.892
0.00156000,-2.890
0.00156500,-2.884
0.00157000,-2.878
0.00157500,-2.877
0.00158000,-2.877
0.00158500,-2.878
0.00159000,-2.881
0.00159500,-2.878
0.00160000,-2.876
0.00160500,-2.873
0.00161000,-2.866
0.00161500,-2.858
0.00162000,-2.859
0.00162500,-2.865
0.00163000,-2.861
0.00163500,-2.865
0.00164000,-2.858
0.00164500,-2.853
0.00165000,-2.848
0.00165500,-2.844
0.00166000,-2.839
0.00166500,-2.845
0.00167000,-2.848
0.00167500,-2.845
0.00168000,-2.836
0.00168500,-2.838
0.00169000,-2.829
0.00169500,-2.817
0.00170000,-2.819
0.00170500,-2.824
0.00171000,-2.827
0.00171500,-2.823
0.00172000,-2.820
0.00172500,-2.810
0.00173000,-2.802
0.00173500,-2.803
0.00174000,-2.800
0.00174500,-2.799
0.00175000,-2.803
0.00175500,-2.803
0.00176000,-2.798
0.00176500,-2.792
0.00177000,-2.782
0.00177500,-2.779
0.00178000,-2.771
0.00178500,-2.773
0.00179000,-2.776
0.00179500,-2.775
0.00180000,-2.772
0.00180500,-2.766
0.00181000,-2.759
0.00181500,-2.754
0.00182000,-2.747
0.00182500,-2.744
0.00183000,-2.749
0.00183500,-2.753
0.00184000,-2.745
0.00184500,-2.744
0.00185000,-2.737
0.00185500,-2.729
0.00186000,-2.720
0.00186500,-2.722
0.00187000,-2.728
0.00187500,-2.728
0.00188000,-2.723
0.00188500,-2.721
0.00189000,-2.717
0.00189500,-2.709
0.00190000,-2.698
0.00190500,-2.702
0.00191000,-2.701
0.00191500,-2.707
0.00192000,-2.706
0.00192500,-2.698
0.00193000,-2.690
0.00193500,-2.689
0.00194000,-2.677
0.00194500,-2.672
0.00195000,-2.682
0.00195500,-2.688
0.00196000,-2.685
0.00196500,-2.679
0.00197000,-2.677
0.00197500,-2.669
0.00198000,-2.665
0.00198500,-2.664
0.00199000,-2.656
0.00199500,-2.667
0.00200000,-2.671
0.00200500,-2.663
0.00201000,-2.657
0.00201500,-2.657
0.00202000,-2.653
0.00202500,-2.641
0.00203000,-2.645
0.00203500,-2.651
0.00204000,-2.649
0.00204500,-2.646
0.00205000,-2.644
0.00205500,-2.640
0.00206000,-2.632
0.00206500,-2.627
0.00207000,-2.630
0.00207500,-2.632
0.00208000,-2.634
0.00208500,-2.634
0.00209000,-2.632
0.00209500,-2.624
0.00210000,-2.619
0.00210500,-2.615
0.00211000,-2.611
0.00211500,-2.617
0.00212000,-2.620
0.00212500,-2.621
0.00213000,-2.618
0.00213500,-2.619
0.00214000,-2.607
0.00214500,-2.606
0.00215000,-2.602
0.00215500,-2.607
0.00216000,-2.609
0.00216500,-2.611
0.00217000,-2.609
0.00217500,-2.600
0.00218000,-2.598
0.00218500,-2.588
0.00219000,-2.589
0.00219500,-2.592
0.00220000,-2.599
0.00220500,-2.597
0.00221000,-2.592
0.00221500,-2.594
0.00222000,-2.589
0.00222500,-2.585
0.00223000,-2.575
0.00223500,-2.581
0.00224000,-2.583
0.00224500,-2.585
0.00225000,-2.584
0.00225500,-2.582
0.00226000,-2.575
0.00226500,-2.574
0.00227000,-2.563
0.00227500,-2.564
0.00228000,-2.574
0.00228500,-2.579
0.00229000,-2.576
0.00229500,-2.569
0.00230000,-2.563
0.00230500,-2.561
0.00231000,-2.551
0.00231500,-2.556
0.00232000,-2.556
0.00232500,-2.560
0.00233000,-2.558
0.00233500,-2.560
0.00234000,-2.552
0.00234500,-2.547
0.00235000,-2.542
0.00235500,-2.543
0.00236000,-2.544
0.00236500,-2.548
0.00237000,-2.546
0.00237500,-2.547
0.00238000,-2.542
0.00238500,-2.540
0.00239000,-2.529
0.00239500,-2.525
0.00240000,-2.529
0.00240500,-2.529
0.00241000,-2.535
0.00241500,-2.535
0.00242000,-2.525
0.00242500,-2.519
0.00243000,-2.517
0.00243500,-2.506
0.00244000,-2.508
0.00244500,-2.514
0.00245000,-2.517
0.00245500,-2.508
0.00246000,-2.503
0.00246500,-2.498
0.00247000,-2.491
0.00247500,-2.484
0.00248000,-2.490
0.00248500,-2.495
0.00249000,-2.496
0.00249500,-2.493
0.00250000,-2.494
0.00250500,-2.487
0.00251000,-2.483
0.00251500,-2.478
0.00252000,-2.475
0.00252500,-2.481
0.00253000,-2.482
0.00253500,-2.487
0.00254000,-2.479
0.00254500,-2.479
0.00255000,-2.474
0.00255500,-2.463
0.00256000,-2.464
0.00256500,-2.468
0.00257000,-2.472
0.00257500,-2.472
0.00258000,-2.474
0.00258500,-2.466
0.00259000,-2.463
0.00259500,-2.461
0.00260000,-2.458
0.00260500,-2.458
0.00261000,-2.468
0.00261500,-2.469
0.00262000,-2.463
0.00262500,-2.459
0.00263000,-2.461
0.00263500,-2.449
0.00264000,-2.447
0.00264500,-2.447
0.00265000,-2.454
0.00265500,-2.453
0.00266000,-2.458
0.00266500,-2.451
0.00267000,-2.451
0.00267500,-2.446
0.00268000,-2.439
0.00268500,-2.441
0.00269000,-2.449
0.00269500,-2.450
0.00270000,-2.449
0.00270500,-2.446
0.00271000,-2.439
0.00271500,-2.436
0.00272000,-2.426
0.00272500,-2.431
0.00273000,-2.438
0.00273500,-2.438
0.00274000,-2.443
0.00274500,-2.439
0.00275000,-2.435
0.00275500,-2.430
0.00276000,-2.424
0.00276500,-2.422
0.00277000,-2.427
0.00277500,-2.430
0.00278000,-2.431
0.00278500,-2.435
0.00279000,-2.429
0.00279500,-2.425
0.00280000,-2.412
0.00280500,-2.415
0.00281000,-2.416
0.00281500,-2.423
0.00282000,-2.424
0.00282500,-2.423
0.00283000,-2.416
0.00283500,-2.414
0.00284000,-2.409
0.00284500,-2.407
0.00285000,-2.399
0.00285500,-2.411
0.00286000,-2.411
0.00286500,-2.410
0.00287000,-2.403
0.00287500,-2.408
0.00288000,-2.393
0.00288500,-2.390
0.00289000,-2.395
0.00289500,-2.393
0.00290000,-2.401
0.00290500,-2.399
0.00291000,-2.401
