t,i
0.00000000,11.235
0.00000500,11.269
0.00001000,11.274
0.00001500,11.267
0.00002000,11.272
0.00002500,11.280
0.00003000,11.264
0.00003500,11.254
0.00004000,11.242
0.00004500,11.214
0.00005000,11.185
0.00005500,11.177
0.00006000,11.187
0.00006500,11.225
0.00007000,11.245
0.00007500,11.267
0.00008000,11.287
0.00008500,11.295
0.00009000,11.295
0.00009500,11.291
0.00010000,11.291
0.00010500,11.283
0.00011000,11.269
0.00011500,11.259
0.00012000,11.246
0.00012500,11.219
0.00013000,11.192
0.00013500,11.200
0.00014000,11.234
0.00014500,11.248
0.00015000,11.272
0.00015500,11.293
0.00016000,11.312
0.00016500,11.311
0.00017000,11.291
0.00017500,11.264
0.00018000,11.250
0.00018500,11.240
0.00019000,11.238
0.00019500,11.224
0.00020000,11.198
0.00020500,11.190
0.00021000,11.195
0.00021500,11.211
0.00022000,11.219
0.00022500,11.258
0.00023000,11.264
0.00023500,11.258
0.00024000,11.256
0.00024500,11.254
0.00025000,11.234
0.00025500,11.213
0.00026000,11.185
0.00026500,11.166
0.00027000,11.158
0.00027500,11.129
0.00028000,11.106
0.00028500,11.127
0.00029000,11.135
0.00029500,11.124
0.00030000,11.140
0.00030500,11.171
0.00031000,11.166
0.00031500,11.159
0.00032000,11.158
0.00032500,11.131
0.00033000,11.108
0.00033500,11.089
0.00034000,11.053
0.00034500,11.040
0.00035000,11.027
0.00035500,11.008
0.00036000,11.015
0.00036500,11.039
0.00037000,11.039
0.00037500,11.029
0.00038000,11.036
0.00038500,11.036
0.00039000,11.024
0.00039500,11.026
0.00040000,11.024
0.00040500,10.994
0.00041000,10.981
0.00041500,10.944
0.00042000,10.915
0.00042500,10.900
0.00043000,10.895
0.00043500,10.887
0.00044000,10.894
0.00044500,10.915
0.00045000,10.915
0.00045500,10.910
0.00046000,10.912
0.00046500,10.902
0.00047000,10.883
0.00047500,10.875
0.00048000,10.855
0.00048500,10.834
0.00049000,10.805
0.00049500,10.759
0.00050000,10.728
0.00050500,10.730
0.00051000,10.726
0.00051500,10.723
0.00052000,10.757
0.00052500,10.783
0.00053000,10.765
0.00053500,10.747
0.00054000,10.725
0.00054500,10.702
0.00055000,10.688
0.00055500,10.660
0.00056000,10.631
0.00056500,10.627
0.00057000,10.607
0.00057500,10.557
0.00058000,10.541
0.00058500,10.583
0.00059000,10.590
0.00059500,10.599
0.00060000,10.625
0.00060500,10.620
0.00061000,10.612
0.00061500,10.614
0.00062000,10.594
0.00062500,10.569
0.00063000,10.557
0.00063500,10.528
0.00064000,10.503
0.00064500,10.495
0.00065000,10.477
0.00065500,10.459
0.00066000,10.470
0.00066500,10.474
0.00067000,10.467
0.00067500,10.488
0.00068000,10.511
0.00068500,10.503
0.00069000,10.496
0.00069500,10.479
0.00070000,10.441
0.00070500,10.424
0.00071000,10.400
0.00071500,10.366
0.00072000,10.345
