Time (seconds),right-pad,center-pad,down-pad,left-pad,top-pad
0.0163903,0.0,0.0,0.0,0.0,0.0
0.0662231,0.0,0.0,0.0,0.0,0.0
0.1159942,0.0,0.0,0.0,0.0,0.0
0.1657996,0.0,0.0,0.0,0.0,0.0
0.2157803,0.0,0.0,0.0,0.0,0.0
0.26525,0.0,0.0,0.0,0.0,0.0
0.315536,0.0,0.0,0.0,0.0,0.0
0.3644705,0.0,0.0,0.0,0.0,0.0
0.4142361,0.0,0.0,0.0,0.0,0.0
0.4636779,0.0,0.0,0.0,0.0,0.0
0.5136633,0.0,0.0,0.0,0.0,0.0
0.5630112,0.0,0.0,0.0,0.0,0.0
0.6132178,0.0,0.0,0.0,0.0,0.0
0.662822,0.0,0.0,0.0,0.0,0.0
0.7130885,0.0,0.0,0.0,0.0,0.0
0.7621627,0.0,0.0,0.0,0.0,0.0
0.8115261,0.0,0.0,0.0,0.0,0.0
0.8611205,0.0,0.0,0.0,0.0,0.0
0.9113214,0.0,0.0,0.0,0.0,0.0
0.9614713,0.0,0.0,0.0,0.0,0.0
1.0111625,0.0,0.0,0.0,0.0,0.0
1.0600917,0.0,0.0,0.0,0.0,0.0
1.1104708,0.0,0.0,0.0,0.0,0.0
1.1596839,0.0,0.0,0.0,0.0,0.0
1.2096765,0.0,0.0,0.0,0.0,0.0
1.2590256,0.0,0.0,0.0,0.0,0.0
1.3092179,0.0,0.0,0.0,0.0,0.0
1.3584797,0.0,0.0,0.0,0.0,0.0
1.4082775,0.0,0.0,0.0,0.0,0.2533333
1.4583375,0.0,0.0,0.0,0.0,0.76
1.5078621,0.0777778,0.0,0.0,0.0,0.9044445
1.5577927,0.6044444,0.5111111,0.0,0.0,0.9222222
1.6076202,0.7333333,0.7155555,0.0,0.0977778,0.9244444
1.6571074,0.7488889,0.7511111,0.0,0.1622222,0.9244444
1.7062144,0.7511111,0.7577778,0.0,0.48,0.9266667
1.7561724,0.7511111,0.7577778,0.3066667,0.6111111,0.9266667
1.8067613,0.7533333,0.7577778,0.6733333,0.6266667,0.9
1.8562469,0.7533333,0.76,0.7488889,0.56,0.3488889
1.9061427,0.7533333,0.76,0.7577778,0.5866666,0.0
1.9554636,0.7466667,0.76,0.7577778,0.3955556,0.0
2.005147,0.1422222,0.1688889,0.7577778,0.0,0.0
2.0548503,0.0,0.0,0.6444445,0.0,0.0
2.1044607,0.0,0.0,0.0911111,0.0,0.0
2.1548851,0.0,0.0,0.0,0.0,0.0
2.2047057,0.0,0.0,0.0,0.0,0.0
2.2535353,0.0,0.0,0.0,0.0,0.0
2.3032448,0.0,0.0,0.0,0.0,0.0
2.3529913,0.0,0.0,0.0,0.0,0.0
2.4029577,0.0,0.0,0.0,0.0,0.0
2.4527516,0.0,0.0,0.0,0.0,0.0
2.5025611,0.0,0.0,0.0,0.0,0.0
2.5520225,0.0,0.0,0.0,0.0,0.0
2.602185,0.0,0.0,0.0,0.0,0.0
2.6515739,0.0,0.0,0.0,0.0,0.0
2.7013576,0.0,0.0,0.0,0.0,0.0
2.7504413,0.0,0.0,0.0,0.0,0.0
2.8009038,0.0,0.0,0.0,0.0,0.0
2.850709,0.0,0.0,0.0,0.0,0.0
2.8999481,0.0,0.0,0.0,0.0,0.0
2.9497685,0.0,0.0,0.0,0.0,0.0
2.9994602,0.0,0.0,0.0,0.0,0.0
3.0488048,0.0,0.0,0.0,0.0,0.0
3.0989535,0.0,0.0,0.0,0.0,0.0
3.1484909,0.0,0.0,0.0,0.0,0.1822222
3.1983364,0.0,0.0,0.0,0.0,0.4844444
3.2478426,0.0,0.0,0.0,0.0,0.8755556
3.2977703,0.0644444,0.0,0.0,0.0,0.9244444
3.3477461,0.2955556,0.26,0.0,0.0,0.9311111
3.3973589,0.5555556,0.5,0.0,0.0777778,0.9311111
3.4470117,0.6111111,0.5622222,0.0,0.0888889,0.9311111
3.496582,0.6155556,0.5733333,0.0,0.0888889,0.9333333
3.5465889,0.74,0.74,0.0,0.1311111,0.9333333
3.5959115,0.7555556,0.76,0.0,0.2644444,0.9333333
3.6461623,0.7555556,0.7622222,0.0,0.4844444,0.9333333
3.6955531,0.7555556,0.7622222,0.0688889,0.5311111,0.9333333
3.7454479,0.7577778,0.7644445,0.4577778,0.5911111,0.9333333
3.7953076,0.7577778,0.7644445,0.7266667,0.6555555,0.7577778
3.84515,0.7577778,0.7644445,0.76,0.56,0.32
3.8945024,0.7577778,0.7644445,0.7644445,0.4488889,0.0
3.9446361,0.7577778,0.7644445,0.7644445,0.2355556,0.0
3.9943681,0.7133333,0.3911111,0.7644445,0.0,0.0
4.0445414,0.3044444,0.0644444,0.7666667,0.0,0.0
4.0940475,0.0,0.0,0.7666667,0.0,0.0
4.144171,0.0,0.0,0.2733333,0.0,0.0
4.1936755,0.0,0.0,0.0822222,0.0,0.0
4.2433531,0.0,0.0,0.0,0.0,0.0
4.2925534,0.0,0.0,0.0,0.0,0.0
4.3428068,0.0,0.0,0.0,0.0,0.0
4.3919363,0.0,0.0,0.0,0.0,0.0
4.4422364,0.0,0.0,0.0,0.0,0.0
4.4909482,0.0,0.0,0.0,0.0,0.0
4.5410993,0.0,0.0,0.0,0.0,0.0
4.5909171,0.0,0.0,0.0,0.0,0.0
4.6405718,0.0,0.0,0.0,0.0,0.0
4.6899669,0.0,0.0,0.0,0.0,0.0
4.739701,0.0,0.0,0.0,0.0,0.0
4.789747,0.0,0.0,0.0,0.0,0.0
4.8394825,0.0,0.0,0.0,0.0,0.0
4.8892431,0.0,0.0,0.0,0.0,0.0
4.9390819,0.0,0.0,0.0,0.0,0.0
4.9881823,0.0,0.0,0.0,0.0,0.0
5.037729,0.0,0.0,0.0,0.0,0.0
5.0878081,0.0,0.0,0.0,0.0,0.0
5.1374047,0.0,0.0,0.0,0.0,0.0
5.1870465,0.0,0.0,0.0,0.0,0.0
5.237288,0.0,0.0,0.0,0.0,0.1177778
5.2862422,0.0,0.0,0.0,0.0,0.3577778
5.336632,0.0,0.0,0.0,0.0,0.8488889
5.386354,0.1044444,0.0,0.0,0.0,0.9266667
5.435684,0.4555556,0.0,0.0,0.0,0.9355556
5.4855292,0.7177778,0.1755556,0.0,0.0,0.9355556
5.5354593,0.7533333,0.6111111,0.0,0.0,0.9355556
5.5851686,0.7577778,0.7488889,0.0,0.0,0.9377778
5.6344757,0.7577778,0.7644445,0.0,0.0688889,0.9377778
5.6840272,0.7577778,0.7666667,0.1622222,0.0866667,0.9377778
5.7341871,0.76,0.7666667,0.3422222,0.1022222,0.8911111
5.7838798,0.76,0.7688889,0.7044445,0.1177778,0.4422222
5.8339124,0.76,0.7688889,0.76,0.1644444,0.0777778
5.8835046,0.76,0.7688889,0.7666667,0.0755556,0.0
5.9335673,0.5933333,0.2266667,0.7666667,0.0,0.0
5.9833887,0.1088889,0.0,0.7666667,0.0,0.0
6.0331438,0.0,0.0,0.4444444,0.0,0.0
6.0828187,0.0,0.0,0.0644444,0.0,0.0
6.1330373,0.0,0.0,0.0,0.0,0.0
6.1815934,0.0,0.0,0.0,0.0,0.0
6.2322145,0.0,0.0,0.0,0.0,0.0
6.2813401,0.0,0.0,0.0,0.0,0.0
6.3313854,0.0,0.0,0.0,0.0,0.0
6.3805995,0.0,0.0,0.0,0.0,0.0
6.4304194,0.0,0.0,0.0,0.0,0.0
6.4805732,0.0,0.0,0.0,0.0,0.0
6.5299382,0.0,0.0,0.0,0.0,0.0
6.5797176,0.0,0.0,0.0,0.0,0.0
6.6297078,0.0,0.0,0.0,0.0,0.0
6.6793032,0.0,0.0,0.0,0.0,0.0
6.7288103,0.0,0.0,0.0,0.0,0.0
6.7785969,0.0,0.0,0.0,0.0,0.0
6.8282714,0.0,0.0,0.0,0.0,0.0
6.878449,0.0,0.0,0.0,0.0,0.0
6.9277322,0.0,0.0,0.0,0.0,0.0
6.9774292,0.0,0.0,0.0,0.0,0.0
7.0269232,0.0,0.0,0.0,0.0,0.0
7.0763447,0.0,0.0,0.0,0.0,0.0
7.1262805,0.0,0.0,0.0,0.0,0.1644444
7.1760004,0.0,0.0,0.0,0.0,0.2466667
7.2254238,0.0,0.0,0.0,0.0,0.8333333
7.2756577,0.1422222,0.1155556,0.0,0.0,0.9266667
7.3252182,0.4311111,0.4933333,0.0,0.1222222,0.9377778
7.3749211,0.7177778,0.7355555,0.0,0.5888889,0.9377778
7.4246097,0.7555556,0.7666667,0.0,0.7844445,0.9377778
7.4741778,0.76,0.7688889,0.2177778,0.8155556,0.94
7.5242922,0.7444444,0.7688889,0.6977777,0.82,0.2577778
7.574034,0.6177778,0.7711111,0.7622222,0.82,0.0
7.6244862,0.3111111,0.7711111,0.7711111,0.6755555,0.0
7.6744437,0.0,0.1822222,0.7711111,0.1444445,0.0
7.7239833,0.0,0.0,0.4822222,0.0,0.0
7.7726619,0.0,0.0,0.0,0.0,0.0
7.8229244,0.0,0.0,0.0,0.0,0.0
7.8725595,0.0,0.0,0.0,0.0,0.0
7.9219069,0.0,0.0,0.0,0.0,0.0
7.9721684,0.0,0.0,0.0,0.0,0.0
8.0218456,0.0,0.0,0.0,0.0,0.0
8.0714018,0.0,0.0,0.0,0.0,0.0
8.1214604,0.0,0.0,0.0,0.0,0.0
8.1710753,0.0,0.0,0.0,0.0,0.0
8.2207618,0.0,0.0,0.0,0.0,0.0
8.270071,0.0,0.0,0.0,0.0,0.0
8.3201332,0.0,0.0,0.0,0.0,0.0
8.3691061,0.0,0.0,0.0,0.0,0.0
8.4187956,0.0,0.0,0.0,0.0,0.0
8.4687455,0.0,0.0,0.0,0.0,0.0
8.519048,0.0,0.0,0.0,0.0,0.0
8.5685885,0.0,0.0,0.0,0.0,0.0
8.6177557,0.0,0.0,0.0,0.0,0.0
8.6679108,0.0,0.0,0.0,0.0,0.0
8.7173848,0.0,0.0,0.0,0.0,0.0
8.7674086,0.0,0.0,0.0,0.0,0.0
8.816572,0.0,0.0,0.0,0.0,0.0
8.8660026,0.0,0.0,0.0,0.0,0.0
8.9161658,0.0,0.0,0.0,0.0,0.0
8.9661932,0.0,0.0,0.0,0.0,0.2088889
9.0158141,0.0,0.0,0.0,0.0,0.8288889
9.0657597,0.0,0.0,0.0,0.0,0.9288889
9.1155019,0.3933333,0.4355555,0.0,0.1022222,0.9422222
9.1649022,0.7177778,0.7311111,0.0,0.2444444,0.9422222
9.215101,0.76,0.7666667,0.0,0.42,0.9422222
9.2648871,0.7644445,0.7711111,0.0,0.4844444,0.9444444
9.3139808,0.7644445,0.7711111,0.08,0.4644445,0.9444444
9.3645332,0.7644445,0.7711111,0.3022222,0.3488889,0.9377778
9.4142883,0.7666667,0.7733333,0.4311111,0.2688889,0.7911111
9.4635992,0.7666667,0.7733333,0.7288889,0.1755556,0.1222222
9.5130246,0.7666667,0.7733333,0.7666667,0.1333333,0.0
9.5629268,0.7666667,0.7733333,0.7711111,0.0911111,0.0
9.6133354,0.7666667,0.7733333,0.7711111,0.0,0.0
9.6630414,0.7666667,0.5266666,0.7711111,0.0,0.0
9.7124686,0.5666667,0.12,0.7733333,0.0,0.0
9.7624786,0.1555556,0.0,0.7733333,0.0,0.0
9.8120561,0.0,0.0,0.7733333,0.0,0.0
9.8617849,0.0,0.0,0.6844444,0.0,0.0
9.9117694,0.0,0.0,0.1288889,0.0,0.0
9.961391,0.0,0.0,0.0,0.0,0.0
10.0108607,0.0,0.0,0.0,0.0,0.0
10.0607798,0.0,0.0,0.0,0.0,0.0
10.110543,0.0,0.0,0.0,0.0,0.0
10.1596184,0.0,0.0,0.0,0.0,0.0
10.2099864,0.0,0.0,0.0,0.0,0.0
10.2589886,0.0,0.0,0.0,0.0,0.0
10.3091893,0.0,0.0,0.0,0.0,0.0
10.3584552,0.0,0.0,0.0,0.0,0.0
10.4083216,0.0,0.0,0.0,0.0,0.0
10.4578295,0.0,0.0,0.0,0.0,0.0
10.5077376,0.0,0.0,0.0,0.0,0.0
10.5570693,0.0,0.0,0.0,0.0,0.0
10.6071756,0.0,0.0,0.0,0.0,0.0
10.6561809,0.0,0.0,0.0,0.0,0.0
10.7069895,0.0,0.0,0.0,0.0,0.0
10.7557969,0.0,0.0,0.0,0.0,0.0
10.8056741,0.0,0.0,0.0,0.0,0.0
10.8558481,0.0,0.0,0.0,0.0,0.0
10.9055209,0.0,0.0,0.0,0.0,0.0
10.9545147,0.0,0.0,0.0,0.0,0.0777778
11.0043199,0.0711111,0.0,0.0,0.0,0.4666667
11.0547507,0.5822222,0.0,0.0,0.0,0.8844444
11.104697,0.7422222,0.1088889,0.0,0.0,0.9377778
11.1541021,0.7622222,0.1355556,0.0,0.0,0.9444444
11.2032871,0.7644445,0.4311111,0.0,0.0,0.9444444
11.2531626,0.7644445,0.7288889,0.0,0.0,0.7555556
11.3031104,0.7666667,0.7688889,0.1822222,0.0,0.2
11.3529525,0.7666667,0.7733333,0.6288889,0.0,0.0
11.4026291,0.7666667,0.3311111,0.7555556,0.0,0.0
11.4524643,0.6177778,0.0,0.7711111,0.0,0.0
11.5023246,0.0955556,0.0,0.6377778,0.0,0.0
11.5523806,0.0,0.0,0.1533333,0.0,0.0
11.6008129,0.0,0.0,0.0,0.0,0.0
11.6514421,0.0,0.0,0.0,0.0,0.0
11.7013581,0.0,0.0,0.0,0.0,0.0
11.750968,0.0,0.0,0.0,0.0,0.0
