Time (seconds),right-pad,center-pad,down-pad,left-pad,top-pad
0.0166261,0.0,0.0,0.0,0.0,0.0
0.0665371,0.0,0.0,0.0,0.0,0.0
0.116405,0.0,0.0,0.0,0.0,0.0
0.1655133,0.0,0.0,0.0,0.0,0.0
0.2157104,0.0,0.0,0.0,0.0,0.0
0.2648649,0.0,0.0,0.0,0.0,0.0
0.3149493,0.0,0.0,0.0,0.0,0.0
0.3644092,0.0,0.0,0.0,0.0,0.0
0.413708,0.0,0.0,0.0,0.0,0.0
0.4637771,0.0,0.0,0.0,0.0,0.0
0.5135431,0.0,0.0,0.0,0.0,0.0
0.5628536,0.0,0.0,0.0,0.0,0.0
0.6121991,0.0,0.0,0.0,0.0,0.0
0.6619632,0.0,0.0,0.0,0.0,0.0
0.711823,0.0,0.0,0.0,0.0,0.0
0.7616842,0.0,0.0,0.0,0.0,0.0
0.8117409,0.0,0.0,0.0,0.0,0.0
0.8607724,0.0,0.0,0.0,0.0,0.0
0.9103093,0.0,0.0,0.0,0.0,0.0
0.9607074,0.0,0.0,0.0,0.0,0.0
1.0097735,0.0,0.0,0.0,0.0,0.0
1.0600646,0.0,0.0,0.0,0.0,0.0
1.1098294,0.0,0.0,0.0,0.0,0.0
1.1595061,0.0,0.0,0.0,0.0,0.0
1.2088459,0.0,0.0,0.0,0.0,0.0
1.2581608,0.0,0.0,0.0,0.0,0.0
1.3085551,0.0,0.0,0.0,0.0,0.0
1.3581624,0.0,0.0,0.0,0.0,0.0
1.4070654,0.0,0.0,0.0,0.0,0.0
1.4567454,0.0,0.0,0.0,0.0,0.0
1.5069718,0.0,0.0,0.0,0.0,0.0
1.5560033,0.0,0.0,0.0,0.0,0.0
1.6057925,0.0,0.0,0.0,0.0,0.0
1.6557136,0.0,0.0,0.0,0.0,0.0
1.7050672,0.4777778,0.0,0.0,0.0,0.0
1.7553899,0.8088889,0.0977778,0.1577778,0.0,0.0
1.8044152,0.8511111,0.7111111,0.7533333,0.0,0.0
1.8541484,0.4,0.8355556,0.8377778,0.7266667,0.0
1.9041419,0.0,0.1577778,0.2288889,0.4244444,0.0
1.954273,0.0,0.0,0.0,0.0666667,0.0
2.0032067,0.0,0.0,0.0,0.0,0.0
2.0529437,0.0,0.0,0.0,0.0,0.0
2.1030884,0.0,0.0,0.0,0.0,0.0
2.1526544,0.0,0.0,0.0,0.0,0.0
2.2026713,0.0,0.0,0.0,0.0,0.0
2.2523773,0.0,0.0,0.0,0.0,0.0
2.3014772,0.0,0.0,0.0,0.0,0.0
2.351018,0.0,0.0,0.0,0.0,0.0
2.4006896,0.0,0.0,0.0,0.0,0.0
2.4504902,0.0,0.0,0.0,0.0,0.0
2.5006306,0.0,0.0,0.0,0.0,0.0
2.5498323,0.0,0.0,0.0,0.0,0.0
2.5993602,0.0,0.0,0.0,0.0,0.0
2.6497555,0.0,0.0,0.0,0.0,0.0
2.6990368,0.0,0.0,0.0,0.0,0.0
2.7491808,0.0,0.0,0.0,0.0,0.0
2.7986152,0.0,0.0,0.0,0.0,0.0
2.8480163,0.0,0.0,0.0,0.0,0.0
2.8980017,0.0,0.0,0.0,0.0,0.0
2.9479418,0.0,0.0,0.0,0.0,0.0
2.9971893,0.0,0.0,0.0,0.0,0.0
3.0466309,0.0,0.0,0.0,0.0,0.0
3.096658,0.0,0.0,0.0,0.0,0.0
3.1460214,0.0666667,0.0,0.0,0.0,0.0
3.1961064,0.1066667,0.0,0.0,0.0,0.0
3.2454677,0.1622222,0.0,0.0,0.0,0.0
3.2946603,0.2244444,0.0,0.0,0.0,0.0
3.3450549,0.4377778,0.0,0.0,0.0,0.0
3.394556,0.7711111,0.0,0.0,0.0,0.0
3.4441333,0.8444445,0.0,0.0666667,0.0,0.0
3.4942088,0.8533334,0.0,0.1022222,0.0,0.0
3.5434494,0.8533334,0.0,0.14,0.0,0.0
3.5936003,0.8533334,0.2711111,0.4155556,0.0,0.0
3.6432931,0.8555555,0.7777778,0.7933334,0.4755556,0.6755555
3.6934183,0.3777778,0.84,0.7333333,0.84,0.9711111
3.7430217,0.0,0.2955556,0.1488889,0.8866667,0.3111111
3.7926948,0.0,0.0,0.0,0.1266667,0.0
3.8422973,0.0,0.0,0.0,0.0,0.0
3.8918405,0.0,0.0,0.0,0.0,0.0
3.9416261,0.0,0.0,0.0,0.0,0.0
3.9916492,0.0,0.0,0.0,0.0,0.0
4.0404329,0.0,0.0,0.0,0.0,0.0
4.0903819,0.0,0.0,0.0,0.0,0.0
4.139905,0.0,0.0,0.0,0.0,0.0
4.1898069,0.0,0.0,0.0,0.0,0.0
4.2391357,0.0,0.0,0.0,0.0,0.0
4.2889807,0.0,0.0,0.0,0.0,0.0
4.3384781,0.0,0.0,0.0,0.0,0.0
4.3886015,0.0,0.0,0.0,0.0,0.0
4.4384277,0.0,0.0,0.0,0.0,0.0
4.4878154,0.0,0.0,0.0,0.0,0.0
4.5369976,0.0,0.0,0.0,0.0,0.0
4.5874581,0.0,0.0,0.0,0.0,0.0
4.6367822,0.0,0.0,0.0,0.0,0.0
4.6868603,0.0,0.0,0.0,0.0,0.0
4.7366309,0.0,0.0,0.0,0.0,0.0
4.7862685,0.0,0.0,0.0,0.0,0.0
4.835319,0.0,0.0,0.0,0.0,0.0
4.8852441,0.0,0.0,0.0,0.0,0.0
4.934598,0.2888889,0.0,0.0,0.0,0.0
4.9846117,0.7177778,0.0,0.0,0.0,0.0
5.0342417,0.8355556,0.1111111,0.16,0.0,0.0
5.0838711,0.8511111,0.7,0.7222222,0.0,0.0
5.133817,0.4911111,0.8288889,0.8311111,0.6955556,0.0711111
5.1830027,0.0666667,0.22,0.2377778,0.4644445,0.0
5.2334492,0.0,0.0,0.0,0.0711111,0.0
5.2831779,0.0,0.0,0.0,0.0,0.0
5.3325179,0.0,0.0,0.0,0.0,0.0
5.3822095,0.0,0.0,0.0,0.0,0.0
5.4323666,0.0,0.0,0.0,0.0,0.0
5.4814434,0.0,0.0,0.0,0.0,0.0
5.5314806,0.0,0.0,0.0,0.0,0.0
5.580837,0.0,0.0,0.0,0.0,0.0
5.6307099,0.0,0.0,0.0,0.0,0.0
5.6800683,0.0,0.0,0.0,0.0,0.0
5.7309368,0.0,0.0,0.0,0.0,0.0
5.7793937,0.0,0.0,0.0,0.0,0.0
5.8294578,0.0,0.0,0.0,0.0,0.0
5.8789082,0.0,0.0,0.0,0.0,0.0
5.9289858,0.0,0.0,0.0,0.0,0.0
5.9786005,0.0,0.0,0.0,0.0,0.0
6.0283558,0.0,0.0,0.0,0.0,0.0
6.0771914,0.0,0.0,0.0,0.0,0.0
6.1275537,0.0,0.0,0.0,0.0,0.0
6.1775141,0.0,0.0,0.0,0.0,0.0
6.226094,0.0,0.0,0.0,0.0,0.0
6.2766147,0.0,0.0,0.0,0.0,0.0
6.3262644,0.1288889,0.0,0.0,0.0,0.0
6.3761764,0.6822222,0.0,0.0,0.0,0.0
6.4256637,0.8311111,0.5,0.3555556,0.0,0.0
6.4756625,0.5555556,0.8044444,0.7488889,0.5688889,0.5711111
6.5253754,0.0733333,0.2177778,0.1333333,0.4222222,0.1422222
6.5748334,0.0,0.0,0.0,0.0,0.0
6.6242743,0.0,0.0,0.0,0.0,0.0
6.6743426,0.0,0.0,0.0,0.0,0.0
6.7233341,0.0,0.0,0.0,0.0,0.0
6.7732961,0.0,0.0,0.0,0.0,0.0
6.823437,0.0,0.0,0.0,0.0,0.0
6.8724816,0.0,0.0,0.0,0.0,0.0
6.9228156,0.0,0.0,0.0,0.0,0.0
6.9720218,0.0,0.0,0.0,0.0,0.0
7.021672,0.0,0.0,0.0,0.0,0.0
7.0710745,0.0,0.0,0.0,0.0,0.0
7.1215177,0.0,0.0,0.0,0.0,0.0
7.1704991,0.0,0.0,0.0,0.0,0.0
7.2201159,0.0,0.0,0.0,0.0,0.0
7.2705617,0.0,0.0,0.0,0.0,0.0
7.3194315,0.0,0.0,0.0,0.0,0.0
7.369885,0.0,0.0,0.0,0.0,0.0
7.4194317,0.0,0.0,0.0,0.0,0.0
7.4683952,0.0955556,0.0,0.0,0.0,0.0
7.5183413,0.2,0.0,0.0,0.0,0.0
