Time (seconds),right-pad,center-pad,down-pad,left-pad,top-pad
0.0166059,0.0,0.0,0.0,0.0,0.0
0.067585,0.0,0.0,0.0,0.0,0.0
0.1180174,0.0,0.0,0.0,0.0,0.0
0.1684229,0.0,0.0,0.0,0.0,0.0
0.2195821,0.0,0.0,0.0,0.0,0.0
0.2697582,0.0,0.0,0.0,0.0,0.0
0.3205535,0.0,0.0,0.0,0.0,0.0
0.3716395,0.0,0.0,0.0,0.0,0.0
0.4216568,0.0,0.0,0.0,0.0,0.0
0.4723237,0.0,0.0,0.0,0.0,0.0
0.5235665,0.0,0.0,0.0,0.0,0.0
0.5736527,0.0,0.0,0.0,0.0,0.0
0.6249301,0.0,0.0,0.0,0.0,0.0
0.6747079,0.0,0.0,0.0,0.0,0.0
0.7255921,0.0,0.0,0.0,0.0,0.0
0.7763135,0.0,0.0,0.0,0.0,0.0
0.8267295,0.0,0.0,0.0,0.0,0.0
0.8774288,0.0,0.0,0.0,0.0,0.0
0.9283848,0.0,0.0,0.0,0.0,0.0
0.9784195,0.0,0.0,0.0,0.0,0.0
1.0295653,0.0,0.0,0.0,0.0,0.0
1.0800099,0.0,0.0,0.0,0.0,0.0
1.1302271,0.0,0.0,0.0,0.0,0.0
1.181577,0.0,0.0,0.0,0.0,0.0
1.2316682,0.0,0.0,0.0,0.0,0.0
1.2822962,0.0,0.0,0.0,0.0,0.0
1.3330209,0.0,0.0,0.0,0.0,0.0
1.38363,0.0,0.0,0.0,0.0,0.0
1.4344931,0.0,0.0,0.0,0.0,0.0
1.4855535,0.0,0.0,0.0,0.0,0.0
1.5357394,0.0,0.0,0.0,0.0,0.0
1.586293,0.0,0.0,0.0,0.0,0.0
1.6367099,0.0,0.0,0.0,0.6288889,0.0
1.6880763,0.0,0.0,0.0911111,0.8555555,0.0
1.7386982,0.0,0.0,0.3,0.8844444,0.0
1.7887719,0.0,0.2488889,0.7333333,0.8866667,0.0
1.8400698,0.0,0.7533333,0.8288889,0.8866667,0.0
1.8899415,0.12,0.8311111,0.8422222,0.8888889,0.0
1.9405861,0.6377778,0.8422222,0.8422222,0.8888889,0.0
1.9916592,0.8244445,0.8422222,0.8422222,0.3933333,0.0
2.0422192,0.8466667,0.8422222,0.8444445,0.0,0.0
2.0931921,0.8488889,0.3,0.3466667,0.0,0.0
2.1441336,0.5066667,0.0,0.0,0.0,0.0
2.1945214,0.0844444,0.0,0.0,0.0,0.0
2.2449503,0.0,0.0,0.0,0.0,0.0
2.2953444,0.0,0.0,0.0,0.0,0.0
2.3467376,0.0,0.0,0.0,0.0,0.0
2.3968325,0.0,0.0,0.0,0.0,0.0
2.447511,0.0,0.0,0.0,0.0,0.0
2.4986074,0.0,0.0,0.0,0.0,0.0
2.5484538,0.0,0.0,0.0,0.0,0.0
2.6000063,0.0,0.0,0.0,0.0,0.0
2.6504226,0.0,0.0,0.0,0.0,0.0
2.7010393,0.0,0.0,0.0,0.0,0.0
2.7512658,0.0,0.0,0.0,0.0,0.0
2.8018022,0.0,0.0,0.0,0.0,0.0
2.8529091,0.0,0.0,0.0,0.0,0.0
2.9030895,0.0,0.0,0.0,0.0,0.0
2.9540827,0.0,0.0,0.0,0.0,0.0
3.0043945,0.0,0.0,0.0,0.0,0.0
3.0552742,0.0,0.0,0.0,0.0,0.0
3.1054187,0.0,0.0,0.0,0.0,0.0
3.1561654,0.0,0.0,0.0,0.0,0.0
3.2074862,0.0,0.0,0.0,0.0,0.0
3.2578685,0.0,0.0,0.0,0.0,0.0
3.3080192,0.0,0.0,0.0,0.0,0.0
3.3585937,0.0,0.0,0.0,0.1044444,0.0
3.4096789,0.0,0.0,0.0,0.3755555,0.0
3.4601753,0.0,0.0,0.0,0.8066667,0.0
3.5107446,0.0,0.0,0.0,0.8755556,0.0
3.5614541,0.0,0.0733333,0.0644444,0.8844444,0.0
3.6120992,0.0,0.4177778,0.1733333,0.8844444,0.0
3.6630051,0.0,0.7711111,0.5044444,0.8844444,0.0
3.7131593,0.0,0.8333333,0.7933334,0.8866667,0.0
3.7641695,0.0,0.84,0.8333333,0.8866667,0.0
3.8150823,0.0,0.84,0.8377778,0.8866667,0.0
3.8656995,0.1955556,0.84,0.8377778,0.8866667,0.0
