Time (seconds),right-pad,center-pad,down-pad,left-pad,top-pad
0.0164778,0.0,0.0,0.0,0.0,0.0
0.0661867,0.0,0.0,0.0,0.0,0.0
0.1160634,0.0,0.0,0.0,0.0,0.0
0.165993,0.0,0.0,0.0,0.0,0.0
0.2162223,0.0,0.0,0.0,0.0,0.0
0.2660372,0.0,0.0,0.0,0.0,0.0
0.3159912,0.0,0.0,0.0,0.0,0.0
0.3652537,0.0,0.0,0.0,0.0,0.0
0.4154689,0.0,0.0,0.0,0.0,0.0
0.465169,0.0,0.0,0.0,0.0,0.0
0.5146565,0.0,0.0,0.0,0.0,0.0
0.5642464,0.0,0.0,0.0,0.0,0.0
0.6142578,0.0,0.0,0.0,0.0,0.0
0.6643834,0.0,0.0,0.0,0.0,0.0
0.7134302,0.0,0.0,0.0,0.0,0.0
0.7636046,0.0,0.0,0.0,0.0,0.0
0.813334,0.0,0.0,0.0,0.0,0.0
0.8630989,0.0,0.0,0.0,0.0,0.0
0.9132111,0.0,0.0,0.0,0.0,0.0
0.9626844,0.0,0.0,0.0,0.0,0.0
1.0124032,0.0,0.0,0.0,0.0,0.0
1.0622466,0.0,0.0,0.0,0.0,0.0
1.111685,0.0,0.0,0.0,0.0,0.0
1.1620216,0.0,0.0,0.0,0.0,0.0
1.2110217,0.0,0.0,0.0,0.0,0.0
1.2606792,0.0,0.0,0.0,0.0,0.0
1.311305,0.0,0.0,0.0,0.0,0.0
1.3609385,0.0,0.0,0.0,0.0,0.0
1.4100044,0.0,0.0,0.0,0.0,0.0
1.4601829,0.0,0.0,0.0,0.0,0.0
1.5099924,0.0,0.0,0.0,0.0,0.0
1.5600224,0.0,0.0,0.0,0.0,0.0
1.6094341,0.0,0.0,0.1022222,0.0,0.0
1.6588275,0.0,0.0,0.6466666,0.0,0.0
1.7088566,0.0,0.0,1.1266667,0.0,0.0
1.7591853,0.0,0.0,1.1866666,0.0,0.0
1.8089602,0.3666667,0.0755556,1.1933334,0.0,0.0
1.8586295,1.0733334,0.4555556,1.1933334,0.0,0.0
1.9083619,1.3088889,1.0088888,1.1933334,0.0711111,0.0
1.9586887,1.3755555,1.3044444,1.1955556,0.2622222,0.0
2.0082636,1.3844445,1.3422222,1.1955556,0.6177778,0.0
2.0586259,1.3844445,1.3466667,0.7955555,1.0666667,1.0088888
2.1086049,1.3222222,1.3466667,0.1377778,1.1177778,1.3511111
2.1575527,0.4577778,0.8733333,0.0,0.6488889,1.3933333
2.2079639,0.0755556,0.1288889,0.0,0.1044444,0.6888889
2.2573953,0.0,0.0,0.0,0.0,0.0955556
2.3072879,0.0,0.0,0.0,0.0,0.0
2.3569398,0.0,0.0,0.0,0.0,0.0
2.4068494,0.0,0.0,0.0,0.0,0.0
2.456804,0.0,0.0,0.0,0.0,0.0
2.5070188,0.0,0.0,0.0,0.0,0.0
2.5564835,0.0,0.0,0.0,0.0,0.0
2.606559,0.0,0.0,0.0,0.0,0.0
2.6561055,0.0,0.0,0.0,0.0,0.0
2.7057955,0.0,0.0,0.0,0.0,0.0
2.7557874,0.0,0.0,0.0,0.0,0.0
2.8051956,0.0,0.0,0.0,0.0,0.0
2.8552914,0.0,0.0,0.0,0.0,0.0
2.9044471,0.0,0.0,0.0,0.0,0.0
2.9548142,0.0,0.0,0.0,0.0,0.0
3.0045474,0.0,0.0,0.0,0.0,0.0
3.0541101,0.0,0.0,0.0,0.0,0.0
3.1041036,0.0,0.0,0.0,0.0,0.0
3.1535809,0.0,0.0,0.0,0.0,0.0
3.2039487,0.0,0.0,0.0,0.0,0.0
3.2533197,0.0,0.0,0.0,0.0,0.0
3.3026271,0.0,0.0,0.0666667,0.0,0.0
3.3528047,0.0,0.0,0.84,0.0,0.0
3.403013,0.0,0.0,1.1444445,0.0,0.0
3.4529004,0.1,0.1066667,1.1888889,0.0,0.0
3.5028572,0.5577778,0.6,1.1933334,0.0,0.0
3.5527155,1.0377778,1.1977777,1.1933334,0.2111111,0.0
3.6019003,1.3333334,1.3288889,1.1933334,0.46,0.0
3.6515877,1.3777778,1.3444444,1.1955556,0.5688889,0.0
3.7018106,1.38,1.3466667,0.6088889,0.7555556,0.94
3.7518835,0.7688889,1.3444444,0.0844444,0.8777778,1.3422222
3.8020484,0.1377778,0.3111111,0.0,0.2333333,1.3911111
3.8518291,0.0,0.0,0.0,0.0,0.2622222
3.9016523,0.0,0.0,0.0,0.0,0.0
3.9509842,0.0,0.0,0.0,0.0,0.0
4.0013204,0.0,0.0,0.0,0.0,0.0
4.0508659,0.0,0.0,0.0,0.0,0.0
4.1009369,0.0,0.0,0.0,0.0,0.0
4.1508224,0.0,0.0,0.0,0.0,0.0
4.1998522,0.0,0.0,0.0,0.0,0.0
4.2502649,0.0,0.0,0.0,0.0,0.0
4.2993553,0.0,0.0,0.0,0.0,0.0
4.3496206,0.0,0.0,0.0,0.0,0.0
4.3991313,0.0,0.0,0.0,0.0,0.0
4.4490066,0.0,0.0,0.0,0.0,0.0
4.4986403,0.0,0.0,0.0,0.0,0.0
4.5487964,0.0,0.0,0.0,0.0,0.0
4.5982449,0.0,0.0,0.0,0.0,0.0
4.6484351,0.0,0.0,0.0,0.0,0.0
4.6980946,0.0,0.0,0.0,0.0,0.0
4.7473269,0.0,0.0,0.0,0.0,0.0
4.7973707,0.0,0.0,0.0,0.0,0.0
4.8471155,0.0,0.0,0.0,0.0,0.0
4.8971918,0.0,0.0,0.0711111,0.0,0.0
4.9468217,0.0,0.0,0.1,0.0,0.0
4.9966481,0.0,0.0,0.48,0.0,0.0
5.0469058,0.0,0.0,1.0644444,0.0,0.0
5.0958581,0.0,0.0,1.1755556,0.0,0.0
5.1456652,0.2155555,0.52,1.1911111,0.0777778,0.0
5.1957419,0.4,1.0622222,1.1911111,0.2177778,0.0
5.2460492,0.6177778,1.2911111,1.1911111,0.4222222,0.0
5.2952051,0.8755556,1.3377777,1.1933334,0.5355555,0.0
5.3459189,0.9711111,1.3444444,1.1933334,0.7266667,0.0
5.3958533,0.7911111,1.3444444,0.7044445,1.1288888,0.66
5.4450691,0.4444444,1.3444444,0.1088889,1.1933334,1.3044444
5.4949167,0.1044444,0.4733333,0.0,0.5422222,1.3844445
5.5453796,0.0,0.0711111,0.0,0.0844444,0.58
5.5947893,0.0,0.0,0.0,0.0,0.08
5.6443353,0.0,0.0,0.0,0.0,0.0
5.6949353,0.0,0.0,0.0,0.0,0.0
5.7440073,0.0,0.0,0.0,0.0,0.0
5.7944674,0.0,0.0,0.0,0.0,0.0
5.8439565,0.0,0.0,0.0,0.0,0.0
5.8937297,0.0,0.0,0.0,0.0,0.0
5.9433537,0.0,0.0,0.0,0.0,0.0
5.9934239,0.0,0.0,0.0,0.0,0.0
6.0427768,0.0,0.0,0.0,0.0,0.0
6.0930781,0.0,0.0,0.0,0.0,0.0
6.1424325,0.0,0.0,0.0,0.0,0.0
6.1922672,0.0,0.0,0.0,0.0,0.0
6.2419033,0.0,0.0,0.0,0.0,0.0
6.2924023,0.0,0.0,0.0,0.0,0.0
6.3419554,0.0,0.0,0.0,0.0,0.0
6.391861,0.0,0.0,0.0,0.0,0.0
6.4411237,0.0,0.0,0.0,0.0,0.0
6.4907391,0.0,0.0,0.0,0.0,0.0
6.5406706,0.0,0.0,0.0,0.0,0.0
6.5909061,0.0,0.0,0.0,0.0,0.0
6.640358,0.0,0.0,0.2577778,0.0,0.0
6.6902592,0.0,0.0,0.5888889,0.0,0.0
6.739445,0.0,0.0,0.9288889,0.0,0.0
6.7896841,0.0,0.0,1.0888889,0.0,0.0
6.8392141,0.0,0.0,1.1711111,0.0,0.0
6.8889775,0.0,0.0,1.1888889,0.0,0.0
6.9390223,0.0,0.0,1.1911111,0.0,0.0
6.9889517,0.0733333,0.0,1.1911111,0.0,0.0
7.0390022,0.1044444,0.0,1.1933334,0.0,0.0
7.0886607,0.46,0.6355556,1.1933334,0.0977778,0.0
7.1384196,0.7733333,1.1933334,1.1933334,0.4488889,0.0
7.1882234,1.0577778,1.3244444,1.1933334,0.7377778,0.0
7.2379398,1.2977778,1.34,1.1933334,0.9666666,0.1755556
7.2886622,1.3222222,1.3422222,0.5155556,1.0422223,1.0577778
7.3379078,1.2844445,1.3422222,0.0955556,0.8088889,1.3533334
7.3874826,1.1911111,1.3444444,0.0,0.5044444,1.3911111
7.437952,0.2888889,0.4,0.0,0.1177778,1.3955555
7.4881237,0.0,0.0,0.0,0.0,0.3844444
7.5377734,0.0,0.0,0.0,0.0,0.0
7.5870299,0.0,0.0,0.0,0.0,0.0
7.6372449,0.0,0.0,0.0,0.0,0.0
7.6864202,0.0,0.0,0.0,0.0,0.0
7.7370703,0.0,0.0,0.0,0.0,0.0
7.786319,0.0,0.0,0.0,0.0,0.0
7.8364222,0.0,0.0,0.0,0.0,0.0
7.8855639,0.0,0.0,0.0,0.0,0.0
7.9356987,0.0,0.0,0.0,0.0,0.0
7.9859967,0.0,0.0,0.0,0.0,0.0
8.0348849,0.0,0.0,0.0,0.0,0.0
8.0848227,0.0,0.0,0.0,0.0,0.0
8.1349652,0.0,0.0,0.0,0.0,0.0
8.1846962,0.0,0.0,0.0,0.0,0.0
8.2335699,0.0,0.0,0.0,0.0,0.0
8.284306,0.0,0.0,0.0,0.0,0.0
8.3339972,0.0,0.0,0.0,0.0,0.0
8.3834972,0.0,0.0,0.0,0.0,0.0
8.4336987,0.0,0.0,0.0,0.0,0.0
8.4826493,0.0,0.0,0.0,0.0,0.0
8.5329504,0.0,0.0,0.0,0.0,0.0
8.5825875,0.0,0.0,0.0,0.0,0.0
8.6320596,0.0,0.0,0.0,0.0,0.0
8.6822536,0.0,0.0,0.4555556,0.0,0.0
8.73247,0.0,0.0,1.0022222,0.0,0.0
8.7819021,0.0,0.0,1.1666666,0.0,0.0
8.831552,0.4977778,0.1088889,1.1866666,0.0,0.0
8.8815968,0.88,0.3866667,1.1888889,0.0,0.0
8.9310634,1.1711111,1.0111111,1.1888889,0.0,0.0
8.981071,1.2911111,1.3022223,1.1911111,0.1355556,0.0
9.0306976,1.3377777,1.3377777,1.1911111,0.2444444,0.0
9.0805209,1.3733333,1.3422222,1.1911111,0.4,0.1066667
9.1306093,1.3777778,1.3422222,0.5244445,0.4511111,0.94
9.1812787,1.2711111,1.3422222,0.0777778,0.4488889,1.34
9.2302215,0.26,0.3133333,0.0,0.0911111,1.3466667
9.2808628,0.0,0.0,0.0,0.0,0.1866667
9.3305459,0.0,0.0,0.0,0.0,0.0
9.3800886,0.0,0.0,0.0,0.0,0.0
9.4303439,0.0,0.0,0.0,0.0,0.0
9.480037,0.0,0.0,0.0,0.0,0.0
9.5299938,0.0,0.0,0.0,0.0,0.0
9.5794306,0.0,0.0,0.0,0.0,0.0
9.6289964,0.0,0.0,0.0,0.0,0.0
9.6791451,0.0,0.0,0.0,0.0,0.0
9.7287426,0.0,0.0,0.0,0.0,0.0
9.7780857,0.0,0.0,0.0,0.0,0.0
9.8279388,0.0,0.0,0.0,0.0,0.0
9.878165,0.0,0.0,0.0,0.0,0.0
9.9280634,0.0,0.0,0.0,0.0,0.0
9.9773853,0.0,0.0,0.0,0.0,0.0
10.0276892,0.0,0.0,0.0,0.0,0.0
10.0771589,0.0,0.0,0.0,0.0,0.0
10.1273458,0.0,0.0,0.0,0.0,0.0
10.1767652,0.0,0.0,0.0,0.0,0.0
10.2262576,0.0,0.0,0.0,0.0,0.0
10.2759995,0.0,0.0,0.0,0.0,0.0
10.326431,0.0,0.0,0.0,0.0,0.0
10.3755152,0.0,0.0,0.0,0.0,0.0
10.4255011,0.0,0.0,0.0,0.0,0.0
