Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,-5.981768359,-4.931367022,10.91313538,48.39368057,-77.35343424,28.95975367
0.00025,-5.268118779,-5.680253808,10.94837259,53.60972595,-76.39814416,22.78841821
0.0005,-4.50601959,-6.414332167,10.92035176,58.22951126,-74.47422368,16.24471242
0.00075,-3.68815893,-7.105677668,10.7938366,61.72964478,-71.94186115,10.21221637
0.001,-2.886229153,-7.738212274,10.62444143,65.74816132,-69.53395841,3.78579709
0.00125,-2.030257167,-8.334783285,10.36504045,68.49701691,-66.21073093,-2.286285977
0.0015,-1.184741066,-8.884813248,10.06955431,71.45643616,-62.5565119,-8.899924253
0.00175,-0.344477649,-9.357416064,9.701893713,74.13913727,-59.03727572,-15.10186155
0.002,0.491731627,-9.774169215,9.282437588,76.54573822,-55.17069822,-21.37504
0.00225,1.337881995,-10.13930458,8.801422589,78.20921326,-50.70936158,-27.49985168
0.0025,2.151152694,-10.43547487,8.284322177,79.99446869,-46.24120981,-33.75325887
0.00275,2.994747643,-10.6791802,7.684432553,80.23643494,-40.94473353,-39.2917014
0.003,3.81350326,-10.86195905,7.048455794,80.18362427,-35.34895749,-44.83466677
0.00325,4.615928452,-10.97831212,6.362383665,79.44903564,-29.46984446,-49.97919118
0.0035,5.385885452,-11.02993081,5.644045354,78.3473053,-23.38050279,-54.96680251
0.00375,6.120000928,-11.0100455,4.890044571,76.80279541,-17.22993686,-59.57285855
0.004,6.823810332,-10.91357774,4.089767406,74.52246857,-11.08207794,-63.44039063
0.00425,7.465003669,-10.75364566,3.288641991,72.34748077,-4.946775936,-67.40070484
0.0045,8.044934384,-10.5074017,2.462467321,69.98304749,0.726338625,-70.70938611
0.00475,8.600770724,-10.23027103,1.62950031,66.77294922,7.21912699,-73.99207621
0.005,9.07365589,-9.877406055,0.803750165,63.84521103,13.21151238,-77.05672341
0.00525,9.486443901,-9.469114732,-0.017329169,60.68251419,19.19700883,-79.87952302
0.0055,9.867532181,-9.019358965,-0.848173215,56.57398605,25.58696653,-82.16095258
0.00575,10.21492512,-8.491753854,-1.723171265,51.23668671,31.60766547,-82.84435218
0.006,10.46999388,-7.89729817,-2.57269571,46.23971939,36.94414778,-83.18386717
0.00625,10.69717993,-7.262648013,-3.434531916,40.05440903,42.4810558,-82.53546483
0.0065,10.81506336,-6.560725166,-4.254338192,34.58679581,47.00825492,-81.59505073
0.00675,10.88675886,-5.832993063,-5.053765799,28.47794724,51.66510239,-80.14304962
0.007,10.88341564,-5.074374881,-5.809040761,22.43693352,56.03675873,-78.47369225
