Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.0,-17.15106755,1.844893567,15.30617398,1.128552556,-129.3888191,128.2602665
0.00025,-16.51570152,0.427931313,16.08777021,13.07580662,-136.0201581,122.9443515
0.0005,-15.75722621,-0.991569064,16.74879527,24.38339424,-141.675247,117.2918527
0.00075,-14.90538246,-2.420800393,17.32618286,35.75381851,-146.2024329,110.4486144
0.001,-13.94156336,-3.880495476,17.82205884,46.70854187,-148.8322551,102.1237132
0.00125,-12.91528459,-5.326228147,18.24151274,58.0602684,-150.5265766,92.4663082
0.0015,-11.83962412,-6.732189149,18.57181327,69.80020905,-151.6415341,81.84132507
0.00175,-10.65903412,-8.11911104,18.77814516,80.44397736,-151.1553817,70.71140433
0.002,-9.389632348,-9.483185131,18.87281748,90.18140411,-149.0377877,58.85638357
0.00225,-8.039462953,-10.81637301,18.85583596,98.95121765,-145.2867124,46.3354948
0.0025,-6.644842164,-12.06282695,18.70766911,107.0759964,-141.0263527,33.95035629
0.00275,-5.237023569,-13.17430997,18.41133354,114.8044586,-137.2276544,22.42319581
0.003,-3.838104431,-14.15801851,17.99612294,122.5562057,-133.7686089,11.21240317
0.00325,-2.400667171,-15.05118086,17.45184803,129.1414337,-129.4526448,0.311211047
0.0035,-0.965904274,-15.85718774,16.82309201,135.4333344,-124.3775844,-11.05574997
0.00375,0.451889046,-16.53583937,16.08395033,141.2843933,-119.2816883,-22.00270497
0.004,1.863187712,-17.12775557,15.26456786,146.4919586,-113.2143646,-33.27759406
0.00425,3.306233419,-17.62362997,14.31739655,149.7474365,-105.96828,-43.77915648
0.0045,4.764821847,-18.04291973,13.27809788,151.375061,-97.21138736,-54.16367367
0.00475,6.20543931,-18.38013176,12.17469245,151.9775543,-87.22299838,-64.75455594
0.005,7.592515369,-18.6073381,11.01482273,152.0600433,-76.74239492,-75.31764842
0.00525,8.95614543,-18.73807498,9.781929552,150.7188263,-65.26493172,-85.45389457
0.0055,10.23564138,-18.76642242,8.530781038,149.2934723,-53.33787424,-95.95559805
0.00575,11.4632868,-18.6877275,7.224440704,146.7102203,-40.818797,-105.8914233
0.006,12.59205476,-18.47194556,5.8798908,143.7945099,-28.65205387,-115.142456
0.00625,13.63803563,-18.13262006,4.494584432,140.055954,-16.51829823,-123.5376558
0.0065,14.57618862,-17.66721063,3.091022013,135.9743958,-4.720253533,-131.2541422
0.00675,15.34341589,-17.02832789,1.684912001,132.7227173,5.288830804,-138.0115481
0.007,16.06538197,-16.34163672,0.276254754,127.8103638,16.69839883,-144.5087626
0.00725,16.72226738,-15.56736428,-1.154903102,121.3295593,28.51164779,-149.8412071
0.0075,17.27306481,-14.65431339,-2.618751425,113.8684235,39.32658129,-153.1950048
0.00775,17.72240502,-13.615181,-4.107224019,105.3146286,49.25494331,-154.5695719
0.008,18.07862223,-12.49396467,-5.584657559,95.70468903,59.01799311,-154.7226821
0.00825,18.32723126,-11.30759405,-7.019637206,85.49118042,68.6550807,-154.1462611
0.0085,18.48224661,-10.05225528,-8.429991335,74.24510956,78.01370962,-152.2588192
0.00875,18.55117756,-8.768145831,-9.783031728,62.04643631,87.7138915,-149.7603278
0.009,18.52511013,-7.455267106,-11.06984303,49.12669754,97.49333552,-146.6200331
0.00925,18.43499083,-6.12673381,-12.30825702,34.78487396,107.6212425,-142.4061165
0.0095,18.14513049,-4.732195261,-13.41293523,22.25099754,115.9279179,-138.1789155
0.00975,17.67460232,-3.282655132,-14.39194719,11.19525814,122.5245631,-133.7198212
0.01,17.11704128,-1.833537991,-15.28350329,-0.338428825,128.9136377,-128.5752089
0.01025,16.46900157,-0.397959417,-16.07104215,-12.07508755,135.0926135,-123.017526
0.0105,15.72657803,0.998271015,-16.72484905,-23.61574364,141.2967207,-117.6809771
0.01075,14.88363019,2.421579056,-17.30520924,-35.16454315,146.0002042,-110.8356611
0.011,13.9414161,3.868157907,-17.80957401,-46.58318329,149.0394555,-102.4562722
0.01125,12.92406305,5.316006264,-18.24006931,-58.18516541,150.765584,-92.58041861
0.0115,11.80728384,6.740160463,-18.5474443,-68.9786377,151.2377389,-82.25910121
0.01175,10.62540392,8.122428576,-18.7478325,-79.54302216,150.830455,-71.28743289
0.012,9.395028554,9.477195432,-18.87222399,-90.22943878,149.1798964,-58.95045761
0.01225,8.060518496,10.7959977,-18.85651619,-99.3093338,145.8233945,-46.51406071
0.0125,6.704854943,12.0128319,-18.71768684,-108.2520218,142.4232183,-34.17119647
0.01275,5.295383497,13.13785494,-18.43323844,-116.0608521,138.3754519,-22.3145998
0.013,3.893998022,14.1448327,-18.03883072,-123.942894,134.4703707,-10.52747669
0.01325,2.451930988,15.049421,-17.50135199,-130.5126801,129.907153,0.605527102
0.0135,0.99297241,15.85712088,-16.85009329,-136.199173,124.6195116,11.57966138
