(none),dry_asphalt_severe,dry_asphalt_slight,dry_asphalt_smooth,dry_concrete_severe,dry_concrete_slight,dry_concrete_smooth,dry_gravel,dry_mud,fresh_snow,ice,melted_snow,water_asphalt_severe,water_asphalt_slight,water_asphalt_smooth,water_concrete_severe,water_concrete_slight,water_concrete_smooth,water_gravel,water_mud,wet_asphalt_severe,wet_asphalt_slight,wet_asphalt_smooth,wet_concrete_severe,wet_concrete_slight,wet_concrete_smooth,wet_gravel,wet_mud
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,78.0,9.0,3.0,7.0,10.0,1.0,2.0,3.0,1.0,6.0,1.0,3.0,5.0,5.0,3.0,5.0,2.0,1.0,0.0,20.0,7.0,0.0,6.0,2.0,0.0,0.0,3.0
0.0,1.0,72.0,9.0,6.0,14.0,4.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,2.0,2.0,2.0,2.0,2.0,3.0
0.0,2.0,3.0,52.0,0.0,6.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,10.0,0.0,1.0,4.0,1.0,0.0,5.0,8.0,52.0,1.0,3.0,19.0,3.0,1.0
0.0,3.0,7.0,2.0,110.0,19.0,1.0,0.0,8.0,0.0,4.0,1.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0
0.0,3.0,13.0,1.0,40.0,58.0,2.0,8.0,5.0,1.0,8.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,0.0,2.0,12.0,4.0,0.0,2.0,10.0,1.0,1.0,0.0
0.0,3.0,0.0,6.0,1.0,4.0,107.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,6.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,26.0,0.0,0.0
0.0,5.0,2.0,12.0,3.0,2.0,0.0,69.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,10.0,0.0,11.0,3.0,21.0,25.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,92.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,1.0,0.0,8.0,10.0,3.0,6.0,33.0
0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,146.0,7.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,9.0,4.0,134.0,12.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,2.0
0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
