spi_time,water_temp_filtered,coil_temp_filtered,die_temp_filtered,temp_sensor_filtered_value,coil_temp_estimate,referenceSpeed_rpm,outputSpeed_rpm,dqCommand_imag,dqCommand_real,measurement_running,water_temp_estimate
0.0,228,306,415,305,216,0,0,1456,0,0,4
0.09964011,228,306,417,305,216,0,0,1456,0,0,4
0.19899799,228,306,415,305,216,0,0,1456,0,0,4
0.29863831,228,302,417,305,216,0,0,1456,0,0,4
0.39818841,228,304,417,305,216,0,0,1456,0,0,4
0.49769258,228,304,415,305,216,0,0,1456,0,0,4
0.59733993,228,304,417,305,216,0,0,1456,0,0,4
0.69692145,228,304,415,305,216,0,0,1456,0,0,4
0.7963719,228,304,417,305,216,0,0,1456,0,0,4
0.89591843,228,306,417,305,216,0,0,1456,0,0,4
0.99555988,228,306,420,305,216,0,0,1456,0,0,4
1.09503526,228,306,415,305,216,0,0,1456,0,0,4
1.19462379,228,304,417,305,216,0,0,1456,0,0,4
1.29420464,226,304,415,305,216,0,0,1456,0,0,4
1.39366205,228,304,417,305,216,0,0,1456,0,0,4
1.4932729,226,306,415,305,216,0,0,1456,0,0,4
1.59276224,228,304,417,305,216,0,0,1456,0,0,4
1.69229623,228,306,417,305,216,0,0,1456,0,0,4
1.79180543,228,304,417,305,216,0,0,1456,0,0,4
1.89137859,228,304,417,305,216,0,0,1456,0,0,4
1.99093557,228,302,417,305,216,0,0,1456,0,0,4
2.09044321,228,304,417,305,216,0,0,1456,0,0,4
2.19014067,228,304,415,305,216,0,0,1456,0,0,4
2.28947471,228,304,417,305,216,0,0,1456,0,0,4
2.38911775,228,304,417,305,216,0,0,1456,0,0,4
2.48866832,228,306,417,305,216,0,0,1456,0,0,4
2.58817683,228,302,417,305,216,0,0,1456,0,0,4
2.68771148,228,304,417,305,216,0,0,1456,0,0,4
2.78735059,228,304,415,305,216,0,0,1456,0,0,4
2.88682043,228,306,417,305,216,0,0,1456,0,0,4
2.9863464,228,304,417,305,216,0,0,1456,0,0,4
3.08604742,230,304,415,305,216,0,0,1456,0,0,4
3.18549731,228,302,415,305,216,0,0,1456,0,0,4
3.28494034,228,302,417,305,216,0,0,1456,0,0,4
3.38457455,228,304,415,305,216,0,0,1456,0,0,4
3.48412215,228,304,420,305,216,0,0,1456,0,0,4
3.58366498,228,304,417,305,216,0,0,1456,0,0,4
3.68326346,226,306,420,305,216,0,0,1456,0,0,4
3.78272732,228,304,415,305,216,0,0,1456,0,0,4
3.88225198,228,306,417,305,216,0,0,1456,0,0,4
3.98189115,228,306,417,305,216,0,0,1456,0,0,4
4.08131474,228,302,417,305,216,0,0,1456,0,0,4
4.18090859,228,304,417,305,216,0,0,1456,0,0,4
4.28048823,228,306,417,305,216,0,0,1456,0,0,4
4.382313,228,304,415,305,216,0,0,1456,0,0,5
4.48155046,226,304,417,305,216,0,0,1456,0,0,5
4.58105029,228,308,415,305,216,0,0,1456,0,0,5
4.68073281,228,306,417,305,216,0,0,1456,0,0,5
4.78026198,228,304,413,305,216,0,0,1456,0,0,5
4.87970122,228,300,415,305,216,0,0,1456,0,0,5
4.97939845,228,304,417,305,216,0,0,1456,0,0,5
5.07891293,228,302,417,305,216,0,0,1456,0,0,5
5.17845388,228,310,417,305,216,0,0,1456,0,0,5
5.27804267,226,304,417,305,216,0,0,1456,0,0,5
5.37747814,226,304,417,305,216,0,0,1456,0,0,5
5.47700866,228,308,420,305,216,0,0,1456,0,0,5
5.57665844,228,308,417,305,216,0,0,1456,0,0,5
5.67612512,226,306,417,305,216,0,0,1456,0,0,5
5.77572861,228,304,417,305,216,0,0,1456,0,0,5
5.87536403,228,304,415,305,216,0,0,1456,0,0,5
5.97478318,226,306,415,305,216,0,0,1456,0,0,5
6.07447766,228,304,417,305,216,0,0,1456,0,0,5
6.1739541,228,306,417,305,216,0,0,1456,0,0,5
6.27346015,228,302,417,305,216,0,0,1456,0,0,5
6.37301148,228,306,415,305,216,0,0,1456,0,0,5
6.47270835,228,302,415,305,216,0,0,1456,0,0,5
6.57208317,228,302,417,305,216,0,0,1456,0,0,5
6.67171588,228,308,415,305,216,0,0,1456,0,0,5
6.77137519,226,304,415,305,216,0,0,1456,0,0,5
6.87073348,228,306,415,305,216,0,0,1456,0,0,5
6.97026369,226,304,417,305,216,0,0,1456,0,0,5
7.06996974,228,304,417,305,216,0,0,1456,0,0,5
7.16948584,226,306,415,305,216,0,0,1456,0,0,5
7.2690251,228,304,415,305,216,0,0,1456,0,0,5
7.36861205,226,304,415,305,216,0,0,1456,0,0,5
7.46813291,228,302,415,305,216,0,0,1456,0,0,5
7.56757918,228,304,415,305,216,0,0,1456,0,0,5
7.6672731,226,302,417,305,216,0,0,1456,0,0,5
7.76667584,226,304,417,305,216,0,0,1456,0,0,5
7.8662217,226,306,417,305,216,0,0,1456,0,0,5
7.96591426,226,304,415,305,216,0,0,1456,0,0,5
8.06538336,228,306,415,305,216,0,0,1456,0,0,5
8.16497779,228,306,415,305,216,0,0,1456,0,0,5
8.26451289,226,302,415,305,216,0,0,1456,0,0,5
8.36404374,228,306,415,305,216,0,0,1456,0,0,5
8.46353954,228,304,415,305,216,0,0,1456,0,0,5
8.5631807,226,304,417,305,216,0,0,1456,0,0,5
8.66269723,226,304,417,305,216,0,0,1456,0,0,5
8.76234229,228,304,417,305,216,0,0,1456,0,0,5
8.86193983,226,302,415,305,216,0,0,1456,0,0,5
8.96133412,228,306,417,305,216,0,0,1456,0,0,5
9.06088346,228,304,417,305,216,0,0,1456,0,0,5
9.16048396,226,304,415,305,216,0,0,1456,0,0,5
9.26004469,226,310,417,305,216,0,0,1456,0,0,5
9.35953292,226,306,417,305,216,0,0,1456,0,0,5
9.45923374,226,302,415,305,216,0,0,1456,0,0,5
9.55859989,228,306,415,305,216,0,0,1456,0,0,5
9.65820134,226,302,415,305,216,0,0,1456,0,0,5
9.75778082,226,302,415,305,216,0,0,1456,0,0,5
9.85730236,228,304,415,305,216,0,0,1456,0,0,5
9.95696006,226,304,415,305,216,0,0,1456,0,0,5
10.05654229,228,304,415,305,216,0,0,1456,0,0,5
10.15595939,226,304,417,305,216,0,0,1456,0,0,5
10.25546338,228,304,415,305,216,0,0,1456,0,0,5
10.35520075,228,306,415,305,216,0,0,1456,0,0,5
10.45456692,228,302,415,305,216,0,0,1456,0,0,5
10.55415381,228,302,415,305,216,0,0,1456,0,0,5
10.65379545,228,304,417,305,216,0,0,1456,0,0,5
10.75331661,226,302,413,305,216,0,0,1456,0,0,5
10.85292946,226,304,417,305,216,0,0,1456,0,0,5
10.95250858,228,304,413,305,216,0,0,1456,0,0,5
11.05188196,228,304,415,305,216,0,0,1456,0,0,5
11.15150759,226,302,415,305,216,0,0,1456,0,0,5
11.25110513,226,304,415,305,216,0,0,1456,0,0,5
11.3505239,226,302,415,305,216,0,0,1456,0,0,5
11.45012145,226,304,417,305,216,0,0,1456,0,0,5
11.54969914,228,300,415,305,216,0,0,1456,0,0,5
11.6491786,226,302,417,305,216,0,0,1456,0,0,5
11.74881588,228,302,417,305,216,0,0,1456,0,0,5
11.84840787,228,306,415,305,216,0,0,1456,0,0,5
11.94793963,228,306,415,305,216,0,0,1456,0,0,5
12.04746384,226,302,415,305,216,0,0,1456,0,0,5
12.14711205,226,302,415,305,216,0,0,1456,0,0,5
12.24653308,228,304,415,305,216,0,0,1456,0,0,5
12.34604001,226,304,415,305,216,0,0,1456,0,0,5
12.44571954,226,304,417,305,216,0,0,1456,0,0,5
12.54525604,228,304,417,305,216,0,0,1456,0,0,5
12.64485554,228,304,417,305,216,0,0,1456,0,0,5
12.74438954,228,304,415,305,216,0,0,1456,0,0,5
12.84379771,226,308,415,305,216,0,0,1456,0,0,5
12.94344655,228,304,417,305,216,0,0,1456,0,0,5
13.04309598,226,304,413,305,216,0,0,1456,0,0,5
13.14258222,228,304,415,305,216,0,0,1456,0,0,5
13.24218366,228,308,415,305,216,0,0,1456,0,0,5
13.34171433,226,304,415,305,216,0,0,1456,0,0,5
13.44112747,228,304,417,305,216,0,0,1456,0,0,5
13.54067283,226,304,415,305,216,0,0,1456,0,0,5
13.64033441,228,304,415,305,216,0,0,1456,0,0,5
13.7398094,226,304,415,305,216,0,0,1456,0,0,5
13.96269448,226,304,413,0,0,0,0,1456,0,0,0
14.06224011,228,304,410,0,0,0,0,1456,0,0,0
14.16177137,228,306,413,0,0,0,0,1456,0,0,0
14.26129134,226,302,415,0,0,0,0,1456,0,0,0
14.36079944,226,310,415,0,0,0,0,1456,0,0,0
14.4605346,226,302,415,0,0,0,0,1456,0,0,0
14.55997215,228,304,413,0,0,0,0,1456,0,0,0
14.65944094,228,304,413,0,0,0,0,1456,0,0,0
14.75916957,226,306,413,0,0,0,0,1456,0,0,0
14.85855105,228,304,415,0,0,0,0,1456,0,0,0
14.95810085,226,304,415,0,0,0,0,1456,0,1,0
15.0581669,226,302,422,0,0,0,-525,1470,0,1,0
15.15766841,224,302,431,0,0,2650,-2,1602,0,1,0
15.25706207,224,302,438,0,0,2650,-1,1736,0,1,0
15.35682728,224,300,441,0,0,2650,0,1870,0,1,0
15.45632759,224,302,446,0,0,2650,0,2004,0,1,0
15.55569799,222,304,450,0,0,2650,0,2136,0,1,0
15.65547527,224,300,453,0,0,2650,0,2270,0,1,0
15.75491999,224,304,455,0,0,2650,0,2402,0,1,0
15.85429581,224,302,460,0,0,2650,0,2536,0,1,0
15.95389381,224,302,460,0,0,2650,0,2670,0,1,0
16.05349293,224,300,464,0,0,2650,0,2802,0,1,0
16.15299153,224,302,464,0,0,2650,140,2912,0,1,0
16.25276029,226,302,467,0,0,2650,198,2912,0,1,0
16.35230227,226,302,471,0,0,2650,303,2912,0,1,0
16.45170426,222,300,471,0,0,2650,411,2912,0,1,0
16.5514202,222,304,474,0,0,2650,483,2912,0,1,0
16.65097291,226,304,474,0,0,2650,589,2912,0,1,0
16.75040512,224,300,476,0,0,2650,693,2912,0,1,0
16.84987956,224,300,476,0,0,2650,790,2652,0,1,0
16.94953982,224,300,478,0,0,2650,751,842,-45,1,0
17.04880902,226,306,481,0,0,2650,929,1833,-97,1,0
17.14874567,226,304,481,0,0,2650,1073,1748,-92,1,0
17.24825445,254,302,478,0,0,2650,1170,1990,-105,1,0
17.34767654,268,296,481,0,0,2650,1271,2192,-116,1,0
17.44752489,270,298,483,0,0,2650,1409,2089,-110,1,0
17.546835,270,302,485,0,0,2650,1497,2178,-115,1,0
17.64635122,270,302,483,0,0,2650,1589,2338,-124,1,0
17.74618394,270,300,483,0,0,2650,1681,2515,-132,1,0
17.84585369,270,298,485,0,0,2650,1774,2731,-144,1,0
17.94509165,270,298,488,0,0,2650,1870,2926,-154,1,0
18.04475371,270,300,488,0,0,2650,1970,3161,-167,1,0
18.14424419,268,306,490,0,0,2650,2065,3402,-179,1,0
18.24350312,268,310,485,0,0,2650,2161,3647,-192,1,0
18.34345595,270,304,488,0,0,2650,2263,3920,-226,1,0
18.44294875,268,302,490,0,0,2650,2356,4197,-269,1,0
18.54243753,268,296,490,0,0,2650,2454,4458,-309,1,0
18.64217348,268,300,490,0,0,2650,2557,4735,-352,1,0
18.74139371,268,294,492,0,0,2650,2635,4766,-357,1,0
18.84104012,266,302,492,0,0,2650,2645,4808,-363,1,0
18.94085302,266,304,492,0,0,2650,2652,4739,-352,1,0
19.04026254,268,292,492,0,0,2650,2654,4717,-349,1,0
19.13981527,268,300,492,0,0,2650,2649,4769,-357,1,0
19.23960689,268,314,495,0,0,2650,2651,4724,-350,1,0
19.33891422,268,296,495,0,0,2650,2651,4721,-350,1,0
19.43846642,268,300,495,0,0,2650,2648,4762,-356,1,0
19.53816186,270,306,497,0,0,2650,2650,4735,-352,1,0
19.63767038,272,300,495,0,0,2650,2648,4728,-351,1,0
19.73710278,272,302,495,0,0,2650,2651,4700,-346,1,0
19.83694272,272,314,497,0,0,2650,2646,4739,-352,1,0
19.93632396,272,300,500,0,0,2650,2651,4728,-351,1,0
20.03582889,274,300,500,0,0,2650,2650,4713,-348,1,0
20.13562804,272,310,500,0,0,2650,2646,4742,-353,1,0
20.23497804,274,302,500,0,0,2650,2654,4696,-346,1,0
20.33440483,272,300,500,0,0,2650,2654,4703,-347,1,0
20.43417937,272,314,500,0,0,2650,2649,4721,-350,1,0
20.53396062,270,310,497,0,0,2650,2647,4713,-355,1,0
20.63317291,272,296,500,0,0,2650,2653,4710,-348,1,0
20.73295875,270,312,500,0,0,2650,2646,4724,-350,1,0
20.83238669,270,306,500,0,0,2650,2643,4703,-347,1,0
20.93181529,270,294,497,0,0,2650,2646,4713,-348,1,0
21.03155293,270,306,500,0,0,2650,2647,4735,-352,1,0
21.13130742,268,308,500,0,0,2650,2646,4703,-347,1,0
21.23047975,268,296,502,0,0,2650,2650,4693,-345,1,0
21.33023697,268,304,502,0,0,2650,2651,4735,-352,1,0
21.42950616,266,306,502,0,0,2650,2650,4713,-348,1,0
21.5292111,268,298,502,0,0,2650,2646,4728,-351,1,0
21.62895361,268,302,502,0,0,2650,2654,4721,-350,1,0
21.72818985,266,304,502,0,0,2650,2651,4721,-350,1,0
21.82784424,268,290,502,0,0,2650,2657,4693,-345,1,0
21.92757701,266,304,502,0,0,2650,2650,4728,-351,1,0
22.02704362,266,306,504,0,0,2650,2652,4735,-352,1,0
22.12655654,268,294,502,0,0,2650,2656,4713,-348,1,0
22.22638472,268,302,502,0,0,2650,2649,4710,-348,1,0
22.32574155,270,304,504,0,0,2650,2650,4735,-352,1,0
22.42525217,270,300,504,0,0,2650,2655,4700,-346,1,0
22.52495512,272,302,504,0,0,2650,2649,4696,-346,1,0
22.6244364,270,306,502,0,0,2650,2649,4721,-350,1,0
22.7238597,274,300,504,0,0,2650,2651,4703,-347,1,0
22.82369733,274,302,507,0,0,2650,2652,4682,-343,1,0
22.92311832,274,310,504,0,0,2650,2646,4735,-352,1,0
23.02262176,276,298,502,0,0,2650,2646,4689,-345,1,0
23.12243849,274,302,504,0,0,2650,2655,4678,-343,1,0
23.22209609,276,318,504,0,0,2650,2645,4732,-351,1,0
23.32130438,276,302,507,0,0,2650,2648,4678,-343,1,0
23.42108146,274,302,507,0,0,2650,2651,4721,-350,1,0
23.52047997,274,316,507,0,0,2650,2649,4739,-352,1,0
23.61993977,274,298,507,0,0,2650,2647,4703,-347,1,0
23.71969476,274,302,507,0,0,2650,2651,4710,-348,1,0
23.82304894,274,318,507,253,215,2650,2644,4751,-354,1,15
23.92292871,274,296,509,253,215,2650,2650,4717,-349,1,15
24.02233336,274,310,507,253,215,2650,2649,4689,-345,1,15
24.12176483,274,308,509,253,215,2650,2645,4735,-352,1,15
24.22151281,274,296,509,253,215,2650,2649,4710,-348,1,15
24.32096804,276,306,507,253,215,2650,2645,4724,-350,1,15
24.42051555,276,310,507,253,215,2650,2642,4748,-354,1,15
24.52020738,276,296,509,253,215,2650,2648,4735,-352,1,15
24.61961652,278,308,509,253,215,2650,2649,4713,-348,1,15
24.71916101,280,306,507,253,215,2650,2645,4728,-351,1,15
24.81886889,280,296,509,253,215,2650,2651,4732,-351,1,15
24.91838724,278,300,507,253,215,2650,2654,4706,-347,1,15
