spi_time,coil_temp_filtered
50400.0,0.14
50410.0,0.135
50420.0,0.14
50430.0,0.13
50440.0,0.14
50450.0,0.14
50460.0,0.135
50470.0,0.14
50480.0,0.14
50490.0,0.135
50500.0,0.14
50510.0,0.14
50520.0,0.135
50530.0,0.135
50540.0,0.135
50550.0,0.135
50560.0,0.135
50570.0,0.14
50580.0,0.135
50590.0,0.14
50600.0,0.14
50610.0,0.14
50620.0,0.14
50630.0,0.135
50640.0,0.135
50650.0,0.14
50660.0,0.14
50670.0,0.135
50680.0,0.14
50690.0,0.145
50700.0,0.135
50710.0,0.14
50720.0,0.135
50730.0,0.135
50740.0,0.135
50750.0,0.14
50760.0,0.14
50770.0,0.135
50780.0,0.135
50790.0,0.14
50800.0,0.135
50810.0,0.14
50820.0,0.135
50830.0,0.135
50840.0,0.14
50850.0,0.135
50860.0,0.135
50870.0,0.135
50880.0,0.14
50890.0,0.14
50900.0,0.135
50910.0,0.14
50920.0,0.14
50930.0,0.14
50940.0,0.14
50950.0,0.14
50960.0,0.14
50970.0,0.14
50980.0,0.135
50990.0,0.135
51000.0,0.14
51010.0,0.14
51020.0,0.135
51030.0,0.14
51040.0,0.14
51050.0,0.14
51060.0,0.14
51070.0,0.145
51080.0,0.14
51090.0,0.14
51100.0,0.135
51110.0,0.14
51120.0,0.14
51130.0,0.145
51140.0,0.14
51150.0,0.145
51160.0,0.145
51170.0,0.135
51180.0,0.14
51190.0,0.14
51200.0,0.145
51210.0,0.14
51220.0,0.135
51230.0,0.14
51240.0,0.14
51250.0,0.14
51260.0,0.14
51270.0,0.14
51280.0,0.145
51290.0,0.14
51300.0,0.14
51310.0,0.145
51320.0,0.14
51330.0,0.145
51340.0,0.14
51350.0,0.14
51360.0,0.15
51370.0,0.145
51380.0,0.145
51390.0,0.14
51400.0,0.14
51410.0,0.145
51420.0,0.15
51430.0,0.145
51440.0,0.145
51450.0,0.145
51460.0,0.145
51470.0,0.14
51480.0,0.145
51490.0,0.15
51500.0,0.145
51510.0,0.145
51520.0,0.15
51530.0,0.145
51540.0,0.15
51550.0,0.15
51560.0,0.15
51570.0,0.14
51580.0,0.155
51590.0,0.15
51600.0,0.145
51610.0,0.15
51620.0,0.15
51630.0,0.15
51640.0,0.155
51650.0,0.155
51660.0,0.155
51670.0,0.155
51680.0,0.15
51690.0,0.15
51700.0,0.155
51710.0,0.155
51720.0,0.15
51730.0,0.155
51740.0,0.16
51750.0,0.155
51760.0,0.155
51770.0,0.155
51780.0,0.15
51790.0,0.155
51800.0,0.155
51810.0,0.16
51820.0,0.16
51830.0,0.16
51840.0,0.16
51850.0,0.16
51860.0,0.155
51870.0,0.16
51880.0,0.16
51890.0,0.16
51900.0,0.155
51910.0,0.16
51920.0,0.155
51930.0,0.16
51940.0,0.16
51950.0,0.16
51960.0,0.165
51970.0,0.16
51980.0,0.165
51990.0,0.16
52000.0,0.165
52010.0,0.16
52020.0,0.165
52030.0,0.16
52040.0,0.165
52050.0,0.165
52060.0,0.165
52070.0,0.165
52080.0,0.165
52090.0,0.16
52100.0,0.165
52110.0,0.165
52120.0,0.165
52130.0,0.165
52140.0,0.17
52150.0,0.175
52160.0,0.165
52170.0,0.165
52180.0,0.16
52190.0,0.16
52200.0,0.17
52210.0,0.165
52220.0,0.17
52230.0,0.165
52240.0,0.165
52250.0,0.165
52260.0,0.17
52270.0,0.17
52280.0,0.17
52290.0,0.17
52300.0,0.165
52310.0,0.17
52320.0,0.165
52330.0,0.17
52340.0,0.165
52350.0,0.165
52360.0,0.17
52370.0,0.17
52380.0,0.17
52390.0,0.165
52400.0,0.175
52410.0,0.17
52420.0,0.17
52430.0,0.17
52440.0,0.175
52450.0,0.165
52460.0,0.17
52470.0,0.165
52480.0,0.17
52490.0,0.175
52500.0,0.17
52510.0,0.165
52520.0,0.17
52530.0,0.17
52540.0,0.17
52550.0,0.17
52560.0,0.17
52570.0,0.17
52580.0,0.175
52590.0,0.17
52600.0,0.17
52610.0,0.175
52620.0,0.175
52630.0,0.17
52640.0,0.17
52650.0,0.175
52660.0,0.175
52670.0,0.175
52680.0,0.175
52690.0,0.17
52700.0,0.175
52710.0,0.18
52720.0,0.18
52730.0,0.17
52740.0,0.17
52750.0,0.175
52760.0,0.175
52770.0,0.175
52780.0,0.175
52790.0,0.17
52800.0,0.175
52810.0,0.175
52820.0,0.175
52830.0,0.175
52840.0,0.165
52850.0,0.18
52860.0,0.17
52870.0,0.17
52880.0,0.18
52890.0,0.175
52900.0,0.18
52910.0,0.18
52920.0,0.175
52930.0,0.18
52940.0,0.18
52950.0,0.175
52960.0,0.17
52970.0,0.18
52980.0,0.175
52990.0,0.175
53000.0,0.175
53010.0,0.18
53020.0,0.17
53030.0,0.175
53040.0,0.18
53050.0,0.18
53060.0,0.18
53070.0,0.18
53080.0,0.175
53090.0,0.18
53100.0,0.18
53110.0,0.17
53120.0,0.175
53130.0,0.185
53140.0,0.18
53150.0,0.185
53160.0,0.18
53170.0,0.175
53180.0,0.18
53190.0,0.18
53200.0,0.18
53210.0,0.185
53220.0,0.185
53230.0,0.18
53240.0,0.175
53250.0,0.175
53260.0,0.18
53270.0,0.18
53280.0,0.18
53290.0,0.18
53300.0,0.18
53310.0,0.175
53320.0,0.18
53330.0,0.175
53340.0,0.185
53350.0,0.18
53360.0,0.18
53370.0,0.18
53380.0,0.18
53390.0,0.18
53400.0,0.18
53410.0,0.18
53420.0,0.175
53430.0,0.18
53440.0,0.185
53450.0,0.175
53460.0,0.18
53470.0,0.18
53480.0,0.18
53490.0,0.185
53500.0,0.18
53510.0,0.18
53520.0,0.175
53530.0,0.175
53540.0,0.18
53550.0,0.18
53560.0,0.18
53570.0,0.18
53580.0,0.18
53590.0,0.18
53600.0,0.18
53610.0,0.18
53620.0,0.18
53630.0,0.18
53640.0,0.18
53650.0,0.18
53660.0,0.175
53670.0,0.185
53680.0,0.185
53690.0,0.18
53700.0,0.175
53710.0,0.175
53720.0,0.18
53730.0,0.18
53740.0,0.18
53750.0,0.185
53760.0,0.18
53770.0,0.18
53780.0,0.18
53790.0,0.18
53800.0,0.175
53810.0,0.18
53820.0,0.18
53830.0,0.18
53840.0,0.175
53850.0,0.175
53860.0,0.175
53870.0,0.18
53880.0,0.175
53890.0,0.175
53900.0,0.175
53910.0,0.175
53920.0,0.175
53930.0,0.175
53940.0,0.175
53950.0,0.175
53960.0,0.175
53970.0,0.18
53980.0,0.175
53990.0,0.18
54000.0,0.18
54010.0,0.175
54020.0,0.175
54030.0,0.18
54040.0,0.185
54050.0,0.18
54060.0,0.185
54070.0,0.18
54080.0,0.185
54090.0,0.18
54100.0,0.18
54110.0,0.18
54120.0,0.18
54130.0,0.18
54140.0,0.18
54150.0,0.18
54160.0,0.18
54170.0,0.18
54180.0,0.18
54190.0,0.18
54200.0,0.18
54210.0,0.18
54220.0,0.18
54230.0,0.18
54240.0,0.18
54250.0,0.18
54260.0,0.185
54270.0,0.18
54280.0,0.175
54290.0,0.18
54300.0,0.18
54310.0,0.175
54320.0,0.175
54330.0,0.185
54340.0,0.18
54350.0,0.18
54360.0,0.18
54370.0,0.18
54380.0,0.18
54390.0,0.18
54400.0,0.175
54410.0,0.175
54420.0,0.18
54430.0,0.18
54440.0,0.18
54450.0,0.18
54460.0,0.185
54470.0,0.185
54480.0,0.18
54490.0,0.18
54500.0,0.18
54510.0,0.18
54520.0,0.18
54530.0,0.18
54540.0,0.175
54550.0,0.18
54560.0,0.18
54570.0,0.18
54580.0,0.18
54590.0,0.18
